 [1] "capsule godawful comedy thats amazingly shabby cutrate rather bereft laughs "                                                                                                                                                                     
 [2] " bad week life saw austin powers international man mystery "                                                                                                                                                                                      
 [3] " desperately needed something cheer least distract get clear head "                                                                                                                                                                               
 [4] "get perspective "                                                                                                                                                                                                                                 
 [5] "even dumb movies can sometimes "                                                                                                                                                                                                                  
 [6] " tried hard let dejection affect judgment certain now austin powers also sucked rocks bamboo shoots day won lottery "                                                                                                                             
 [7] "michael myers taken character barely supported fiveminute sketch saturday night live stretched length feature film padding toilet jokes sort propsstrategicallypositionedbetweennakedactorsandcamera gags benny hill got tired fifteen years ago "
 [8] " plot little back swinging mod hep sixties dont think im disservice movies attempted early look feel describing way sexy british secret agent austin powers tangled nemesis dr evil "                                                             
 [9] "evil launched orbit cryogenically forze return decades later powers picture "                                                                                                                                                                     
[10] "powers also frozen wakes find nineties hard time deal "                                                                                                                                                                                           
[11] " basic gag powers total inability cope nineties much exhausted course movie never even really dealt "                                                                                                                                             
[12] " bulk movie taken dumb jokes several basic rubrics james bond gags movie end right silly character names inept slapstick toilet humor strategically placed props "                                                                                
[13] " movies amazingly bereft ideas come think couple bright exceptions "                                                                                                                                                                              
[14] "one dr evils son sidesplitting scene father son go encounter group chaired carrie fisher throwaway gag austin mimics various forms transportation behind couch visual gag hard describe hard recommend seeing movie "                             
[15] " lot sixties kitsch resurrected thrown screen movie desperate rather clever "                                                                                                                                                                     
[16] "instead skewering whole thing rather bloodless unfunny tribute "                                                                                                                                                                                  
[17] "myers also desperate hes given idea play character "                                                                                                                                                                                              
[18] "plus attempts make character work giving relationship another sexy albeit nineties agent waste time "                                                                                                                                             
[19] " wanted movie end trying yet get deck one "                                                                                                                                                                                                       
[20] " couple exceptions movie misses best moments "                                                                                                                                                                                                    
[21] " movie even looks cheesy good way kept wondering transferred hidef video something grainy film stock good many scenes "                                                                                                                           
[22] " whole thing air done cheap "                                                                                                                                                                                                                     
[23] " definition comedy simply make laugh "                                                                                                                                                                                                            
[24] " times laughed austin powers completely offset time spent cringing wanting "                                                                                                                                                                      
[25] " damning thing say movie wayne garth likely shoved mike tysons shorts sent sailing "                                                                                                                                                              
