 [1] " kids hall acquired taste "                                                                                                          
 [2] " took least season watching show hbo became believer "                                                                               
 [3] "maybe watching half dozen kids hall movies grow big screen "                                                                         
 [4] " recommendation unless big fan kids skip film "                                                                                      
 [5] " firstand likely onlyattempt full length film lacks qualities made comedy work tv "                                                  
 [6] " bigbudget glossy production can make lack spontaneity permeates tv show "                                                           
 [7] " kids go motions get feeling arent really fun "                                                                                      
 [8] " makes difficult audience enjoy antics "                                                                                             
 [9] "brain candy bunch skits tied together story pharmaceutical company develops new drug cure depression "                               
[10] " typical sketchcomedy tradition actor plays several roles "                                                                          
[11] "doctor cooper kevin mcdonald team create drug "                                                                                      
[12] " pressure don roritor mark mckinney founder president roritor pharmaceuticals dr cooper releases drug marketplace "                  
[13] " ensuing distribution new happy pill throughout populace drives rest film "                                                          
[14] " minutes brain candy still seems long "                                                                                              
[15] " best thing sketch comedyand kids exceptionis ability quickly deliver laughs go another quick skit "                                 
[16] " additional setup necessary telling longer coherent story laughs just dont come fast enough "                                        
[17] "strangely show even tame cable tv "                                                                                                  
[18] " movie makes several attempts risquenessmostly pointing gayness one scott thompsons charactersbut seem almost forced live pg rating "
[19] "one best bits though make use thompsons naked buttocks see charging battlegoing sex guys taking shower "                             
[20] " classic genre monty python pulled delicate balancing act plot advancement punchline delivery holy grail "                           
[21] " kids unfortunately task "                                                                                                           
[22] " amusing moments sure enough make experience enjoyable one "                                                                         
