 [1] " always bad sign core audience film children either walking early halfasleep credits roll end film "                                                                                                              
 [2] " sums dreadful ugliness dalmatians cold pea soup cute animals stupid home alone antics boring puppy love subplot dumb humans glenn close reprising best joan crawford impression "                                
 [3] "indeed walt disney rolling grave cursing john hughes name making original liveaction dalmatians one worst kiddie flicks time now sequel "                                                                         
 [4] " main culprit behind hideousness dalmatians predecessor dalmatians "                                                                                                                                              
 [5] " original made million dollars box office spawned torrid collection collectible items ended months later discount bins walmarts across country generally made every kid planet want damn dalmatian pup christmas "
 [6] "well four years since dalmatian fever coming back time digitally enhanced "                                                                                                                                       
 [7] "heres story "                                                                                                                                                                                                     
 [8] "cruella de vil glenn close released prison due cure puppy homicide urges one dr pavlov "                                                                                                                          
 [9] " oh witty "                                                                                                                                                                                                       
[10] " rejoins world dog lover assigned probation officer oddly turns victim original film "                                                                                                                            
[11] "cruella becomes ella dog lover plot twists like dog leash caught back moving truck becomes evil vixen "                                                                                                           
[12] " kidnapping plot unfurls cruella decides still needs dalmatian coat now needs dalmatians instead commonly used dalmatian formula "                                                                                
[13] " point envying kids filing theater "                                                                                                                                                                              
[14] " low glenn close gerard depardieu films villain sunk film business "                                                                                                                                              
[15] " almost laughable sadistic way watch close walk around costumes seem pulled wardrobe flash gordon "                                                                                                               
[16] " depardieu "                                                                                                                                                                                                      
[17] " can french guy bad french accent "                                                                                                                                                                               
[18] " never mind toilet brush haircut "                                                                                                                                                                                
[19] " minutely positive selling point can even think point talking bird british accent courtesy eric idle thinks hes rottweiler "                                                                                      
[20] "now thats funny "                                                                                                                                                                                                 
