 [1] "im sure writing review witches eastwick im sure just hell pardon expression going "                                                                                                                                         
 [2] "however can express important observation made e "                                                                                                                                                                          
 [3] " didnt like "                                                                                                                                                                                                               
 [4] " summarize film think id conclude updating one old new england folk tales someone selling souls old scratch try get deal "                                                                                                  
 [5] "thats kernel anyway "                                                                                                                                                                                                       
 [6] "tossed little bits pieces occasionally seem saying something men women feminism role devil modern reformers friendship "                                                                                                    
 [7] "unfortunately little effort ever made follow elucidate concepts theyre simply thrown left rot film goes apace "                                                                                                             
 [8] "actually think audience even confused "                                                                                                                                                                                     
 [9] " came expecting kind supernatural comedy level ghostbusters bit confused getting folk tale philosophical overtones "                                                                                                        
[10] " laughed tried laugh moments either barely funny much horrible funny bend film away rather frightening direction "                                                                                                          
[11] "three women cher susan sarandon michelle pfieffer live eastwick small midwestern town "                                                                                                                                     
[12] "one night drinking late evening begin wishing ideal man drop lives "                                                                                                                                                        
[13] " seeming answer idle daydreams wealthy eccentric moves mansion hill seduces one attempting everything want "                                                                                                                
[14] " soon shows evidence mysticalperhaps demonicpower devotion womens merest fantasies wishes dangerous overtones "                                                                                                             
[15] "even worse ignored moods become ugly mistreats women spurning "                                                                                                                                                             
[16] "anyway problems three female characters fairly uninteresting several cardboard stereotypes especially sarandons character "                                                                                                 
[17] " never get inside never feel sympathetic dialogue personalities seem pretty bland "                                                                                                                                         
[18] " nicholson well even devil needs direction go darryl van horne interesting character movie due grace screenwriter importantly nicholsons acting still cant yanked one direction another without making little vague "       
[19] " theres special effects "                                                                                                                                                                                                   
[20] " themselvesthey werent goodbut overuse "                                                                                                                                                                                    
[21] " almost positive saw credits witches eastwick either produced alexander salkind turned slop named superman ii iii supergirl big name actors dopy stunts stephen spielberg th vomit scene nicholsonblowndownthestreet stunt "
[22] "nope another bunch guys directed george miller shown great skill stuntsspecial effects road warrior nightmare feet episode twilight zone movie apparently doesnt know turn wind machine let people act "                    
[23] "fgawds sake guys jack nicholson "                                                                                                                                                                                           
[24] "let loose "                                                                                                                                                                                                                 
[25] "let grin demonically "                                                                                                                                                                                                      
[26] "skip splitting earth fake lightning "                                                                                                                                                                                       
[27] "watching scene nicholson tossed car voodoo doll think waste "                                                                                                                                                               
[28] " youre going use slapstick like use pee wee herman "                                                                                                                                                                        
[29] "nicholson can role can find bearings can extremely good scene church instance time seems bit stiff hes sure next "                                                                                                          
[30] " wonder "                                                                                                                                                                                                                   
[31] " script goes map giving feeling itd just love allegory sure maybe give time itll think something "                                                                                                                          
[32] " witches eastwick "                                                                                                                                                                                                         
[33] " horror movie "                                                                                                                                                                                                             
[34] " folk tale "                                                                                                                                                                                                                
[35] " comedy "                                                                                                                                                                                                                   
[36] " statement women "                                                                                                                                                                                                          
[37] " examination religious right comparitive morality "                                                                                                                                                                         
[38] " tend think image seems dominate movie watching "                                                                                                                                                                           
[39] "someone regurgitate halfdigested bits food cherry pits rooms people screen ultimately audience "                                                                                                                            
[40] " words mess "                                                                                                                                                                                                               
[41] " "                                                                                                                                                                                                                          
[42] " like nicholson enough watch maybe charm able make logjams others "                                                                                                                                                         
