 [1] "well goes another one "                                                                                                                                                
 [2] "sadly like movies year wasnt good "                                                                                                                                    
 [3] " one almost bad omega code quite "                                                                                                                                     
 [4] " opening credits good feeling bad well guess right "                                                                                                                   
 [5] " bad excuses acting horrible screenplay straightout bad direction bachelor terribly unfunny movie doesnt work levels accept fact rene zellwegar give good performance "
 [6] " two cameos brooke shields mariah carey also good brooke best "                                                                                                        
 [7] " movie troubled start chris odonnell hugely miscast gives one worst performances date "                                                                                
 [8] " stupid plot chris odonnell plays jimmie shelton man just broken girlfriend meets anne rene zellwegar instantly hit together three years "                             
 [9] "jimmie decides wants bring relationship little bit "                                                                                                                   
[10] " really doesnt realize anne thinks wants marry wants never catch "                                                                                                     
[11] " proposes really bad way shoots mad "                                                                                                                                  
[12] " course tries apologize nothing seems help "                                                                                                                           
[13] " grandfather dies learns left jimmie million dollars "                                                                                                                 
[14] "long marries next day pm "                                                                                                                                             
[15] "now jimmie must find anne try marry get money loves get married someone else get money leading unfunny predictable ending leaves bad taste mouths "                    
[16] "ok maybe one dumbest cliched silliest romantic comedy date real big laughs "                                                                                           
[17] "even supporting roles artie lange hal holbrook ed anser arent even good "                                                                                              
[18] " plot good idea script written less five minutes five year old "                                                                                                       
[19] " choppy dialogue bad directing dont help things "                                                                                                                      
[20] "even though chris odonnell gave ok performance two batman movies give even remotely good funny performance wanted boo throw pop screen get rid "                       
[21] "rene zelweggar different story gave charming sweet likable performance usual really thing saved confused movie total huge washout "                                    
[22] " sister played marley shelton also good two good chemistry onscreen "                                                                                                  
[23] "brooke shields showed funny little performance bigheaded mogul became routine old "                                                                                    
[24] "one really cant help think seen stuff "                                                                                                                                
[25] " like original idea end everyone knows going happen due cliches typicalness "                                                                                          
[26] " bachelor works good levels fact doesnt work "                                                                                                                         
[27] "ed anser hal holbrook wasted terrible roles mariah carey can act save soul film movie career dispite terrific music career "                                           
[28] "chris odonnell bad actor casper van dien saying great deal "                                                                                                           
[29] " seems held back really doesnt get character much even first minutes gets annoying old "                                                                               
[30] "artie lange just seems like trying another chris farley completely unfunny unnerving "                                                                                 
[31] " filmmakers want waste cast bad movie bad acting dialogue question will know "                                                                                         
[32] "maybe thought become hit critical success sometimes dont agree critics movies even trailers film made look bad showed mildly funny parts "                             
[33] " based silent film seven chances sure better mess "                                                                                                                    
[34] "even though may think good date movie see will want pull thier hair scream thier money back "                                                                          
[35] "besides terrible movie bachelor well terrible movie "                                                                                                                  
[36] " nothing worth recommending therefore really cant recommend movie "                                                                                                    
[37] " good time laughed three times "                                                                                                                                       
[38] " running time movie minutes wayyyy time needs shortened least thirty minutes "                                                                                         
[39] "parts seems go forever parts seem last enough time "                                                                                                                   
[40] " one worst movies year can sure hope will make anymore stupid unfunny romantic comedies give filmmakers "                                                              
