 [1] "well guess time year "                                                                                                                                                                                                      
 [2] " one time year movie craftors exonerated need even try writing script dialogue explosions "                                                                                                                                 
 [3] " also best time handful existing bigtime hollywood mr action heroes dust miniscule vocabularies pull black vests charge onto screens tersely expirating hope will become memorable catchphrases "                           
 [4] " america call time summer happens every year "                                                                                                                                                                              
 [5] " maybe exposure nasty sun process normally weak insipid lines like consider divorce hasta la vista baby youre disease "                                                                                                     
 [6] "im cure actually end repeated often phrases book biblical proverbs "                                                                                                                                                        
 [7] " entirely bad thing course "                                                                                                                                                                                                
 [8] " talking "                                                                                                                                                                                                                  
 [9] "im talking summer blockbusters action thrillers thisobviouslycostalotsoyouknow everyonesgoingtogo explosions gas threats flying saucers special effects "                                                                   
[10] " rash big guns wait "                                                                                                                                                                                                       
[11] "mine bigger movies also usual boymeetsfishandsavesenvironment movies whale whatever year odd crop savetheworldfromaliensorenvironment threats offerings "                                                                   
[12] "im talking three batmans speeds terminators etc year im talking twister independence day arrival rock mission impossible course eraser "                                                                                    
[13] " singapore local movie critics like whine seem get pick crop explosion reallooking movies nothing else "                                                                                                                    
[14] "mission impossible opened theatres almost soon us "                                                                                                                                                                         
[15] " goes eraser unfortunate arnold schwarzenegger coming soon time magazine recently called mission unavoidable account worldwide megaadvertising blitz eraser seems like cheaper less thoughtful imitation "                  
[16] "thats saying lot mi movie already cheap thoughtless imitation tv originator ss "                                                                                                                                            
[17] " eraser arnie us federal marshall relocates trial witnesses whose testimonies place lives danger "                                                                                                                          
[18] " destroying evidence present existence resituating new identities "                                                                                                                                                         
[19] " new case lee cullen played vanessa williams unlike scumbags hes ever relocated actual real life honest person "                                                                                                            
[20] " shes good nice legs arnold spends whole movie trying protect uses opening movie sequence save robert pastorelli killers "                                                                                                  
[21] "lee obtains evidence hightechnology weapons company works secretly selling sophisticated blackmarket arms people foreign accents stringy hair "                                                                             
[22] " course formula goes revealing information will destroy system know heck people high places will go yes biggest conspiracy history world america since watergate "                                                          
[23] " protecting lee arnold framed mentorturnedevil robert deguerin nicely played james caan ends prove isnt one killing programmes witnesses addition making sure lee isnt accidentally torpedoed death new green guns enemies "
[24] " around time people theatre starting humming mission impossible theme arnies mission includes breaking highsecurity building run disk "                                                                                     
[25] " guess tell particular gun everyone movie antsy "                                                                                                                                                                           
[26] " electromagnetic pulse gun thing fires aluminium missiles can see walls "                                                                                                                                                   
[27] " sort xray vision user can target victims heart even great distances "                                                                                                                                                      
[28] "despite figure pretty cool feature gun though im certainly expert however arnold whose heart targeted number times never goes flying feet backwards twofoot missile chest like others get shot gun "                        
[29] "instead outruns outsmarts trackers time giving eery ironic resonance terminator line practically made famous ill back "                                                                                                     
[30] "like everyone else theater left movie feeling trailers duped made want watch movie voluntarily "                                                                                                                            
[31] "although lot violence movie mention mutilation bloody tussles alligators recommend movie overs need therapeutic mindless action get weirdness fargo hangover effect leaving las vegas "                                     
[32] "reviews rating system wait video "                                                                                                                                                                                          
[33] " little creaky still better staying home gotcha "                                                                                                                                                                           
[34] " pretty good bring friend "                                                                                                                                                                                                 
[35] " amazing potent stuff "                                                                                                                                                                                                     
[36] " perfection "                                                                                                                                                                                                               
[37] "see twice "                                                                                                                                                                                                                 
