 [1] "susan grangers review ghosts mars sony pictures entertainment "                                                                                                                                                                        
 [2] "horror auteur john carpenter halloween vampires strikes scifi ecofable thats bad boggles mind imagine project ever got greenlit "                                                                                                      
 [3] " script carpenter larry sulkis appears lifted directly last years pitch black involving violent prisoner must released bondage can help small band humans protect bloodthirsty marauding aliens "                                      
 [4] " year earthlings mars living matriarchal society led commander played pam grier "                                                                                                                                                      
 [5] "grier pillpoppin natasha henstridge rookie mars police officers clea duvall jason statham travel remote mining town shining canyon fetch desolation williams thats ice cube bring back chryse city stand trial murder "                
 [6] " theyre besieged demented zombielike bodysnatching miners readily free scowling ice cube since need protection "                                                                                                                       
 [7] " seems red cloud released shining canyon cave soon miners went bonkers longdormant remnants ancient martian civilization took minds bodies lopping heads vengeance anything tries lay claim planet according scientist joanna cassidy "
 [8] "carpenter uses many flashbacks tell night living dead like story idiotic plot gets incomprehensibly confusing "                                                                                                                        
 [9] " can easily predict supporting characters will killed along order elimination "                                                                                                                                                        
[10] " granger movie gauge ghosts mars thuds laborious bottomofthebarrel "                                                                                                                                                                   
[11] "perhaps indeed curse mars films recall two duds mission mars red planet "                                                                                                                                                              
