 [1] "note may consider portions following text spoilers "                                                                                                                                                                                                                                                                                                                                                                          
 [2] " forewarned "                                                                                                                                                                                                                                                                                                                                                                                                                 
 [3] " quick robin "                                                                                                                                                                                                                                                                                                                                                                                                                
 [4] " antishark repellant "                                                                                                                                                                                                                                                                                                                                                                                                        
 [5] " adam west batman feature film casually kicking patheticlooking rubber shark attached leg "                                                                                                                                                                                                                                                                                                                                   
 [6] " never thought entry modern incarnation batman feature film approach level campiness many instances batman robin nears point even exceeds standard "                                                                                                                                                                                                                                                                          
 [7] " disasterously bad film easily worst series date fairly epitomizes cinematic definition word excessive loud garish obnoxious pointless gratuitous action sequences set pieces clutter screen elaborate production design point overkill "                                                                                                                                                                                     
 [8] "batman robin features caped crusaders george clooney debuting batman chris odonnell returing robin squaring another bevy chemicallyinduced villains nefarious icecold mr freeze arnold schwarzenegger armed weapon freezes everything sights slinky poison ivy uma thurman ability blow powerful love dust faces men order will fall helplessly love dust really necessary accomplish result whatever dispatch poisoned kiss "
 [9] " ivys side giant steroid monster bane jeep swanson grunting hulk beast "                                                                                                                                                                                                                                                                                                                                                      
[10] " villains goals noble ones freeze steals diamonds power climate suit order keep body temperature zero degrees can survive order devise cure beloved wife vendela dying degenerative disease frozen suspended animation ivys intent restore dominance plant life earth albeit destroying human life "                                                                                                                          
[11] "meanwhile homefront life wayne manor thrown upheaval illness butler alfred pennyworth michael gough arrival niece barbara alicia silverstone "                                                                                                                                                                                                                                                                                
[12] "akiva goldsmans screenplay film ridiculous laughably bad astonishingly terrible dialogue lame jokes awful bythenumber plot simply coasts along fails generate genuine excitement "                                                                                                                                                                                                                                            
[13] " makes goldsmans screenplay batman forever thought dreadful look positively inspired comparison "                                                                                                                                                                                                                                                                                                                             
[14] " still astonished cheesy plot device id seen used joke episode gilligans island somehow make way multimillion dollar blockbuster production "                                                                                                                                                                                                                                                                                 
[15] "joel schumachers direction batman robin horrific terrible balance flashiness substance "                                                                                                                                                                                                                                                                                                                                      
[16] " clear conceit towards neon film even moreso previous batman forever revamped batcave helpfully sporting gigantic glowing emblems dynamic duo just case suppose ever happen forget batcave headquarters batman robin neon prominently figuring utterlypointless fight sequence bane street gang ivys chosen new abode "                                                                                                       
[17] "another action sequence fails serve useful point chew five minutes screentime involves incredibly uninvolving latenight motorcycle race barbara gotham goons "                                                                                                                                                                                                                                                                
[18] "mr schumachers focus batman robin appears make film visually striking possible detriment story drastic shifts tone film allout camp heartfelt drama latter completely unconvincing ineffective "                                                                                                                                                                                                                              
[19] " perhaps promising signs group burst laughing within twenty seconds films opening even single line dialogue uttered "                                                                                                                                                                                                                                                                                                         
[20] " batman robin supposed campy "                                                                                                                                                                                                                                                                                                                                                                                                
[21] " think hard imagine filmmakers intended many parts film taken seriously "                                                                                                                                                                                                                                                                                                                                                     
[22] " one favourites bane helpfully grunted bomb "                                                                                                                                                                                                                                                                                                                                                                                 
[23] " time laid explosive device gotham observatory "                                                                                                                                                                                                                                                                                                                                                                              
[24] " supposed overly campy turned "                                                                                                                                                                                                                                                                                                                                                                                               
[25] " somehow doubt subplot involving afred delivered solemnly graveness impression made film isnt attempting utter farce "                                                                                                                                                                                                                                                                                                        
[26] "arnold schwarzenegger topbilled film villainous mr freeze bland uninteresting perhaps worst thing villain can "                                                                                                                                                                                                                                                                                                               
[27] "mr schwarzeneggers attempts menacing laughable attempts conveying pathos laughable frankly everything onscreen laughable "                                                                                                                                                                                                                                                                                                    
[28] " end film stifling chuckle every time simply appeared onscreen "                                                                                                                                                                                                                                                                                                                                                              
[29] " bulk performance consists uttering nearunintelligble puns oneliners featuring every possible permutation cool "                                                                                                                                                                                                                                                                                                              
[30] " least inventive way "                                                                                                                                                                                                                                                                                                                                                                                                        
[31] "george clooney given little batman robin overshadowed villains consequently looks rather uncomfortable film "                                                                                                                                                                                                                                                                                                                 
[32] " batman hardly imposing figure "                                                                                                                                                                                                                                                                                                                                                                                              
[33] "chris odonnell unimpressive onenote performance alicia silverstone lackadasically fails make impression "                                                                                                                                                                                                                                                                                                                     
[34] " films one saving grace "                                                                                                                                                                                                                                                                                                                                                                                                     
[35] "undoubtably uma thurmans entertaining performance sexy villainess poison ivy "                                                                                                                                                                                                                                                                                                                                                
[36] " work batman robin certainly overthetop controlled fashion works splendidly within tone film "                                                                                                                                                                                                                                                                                                                                
[37] "ms thurmans comic timing impeccable reminds us takes skilled performers make campiness work successfully "                                                                                                                                                                                                                                                                                                                    
[38] " im already starting positively reassess jim carreys performance batman forever "                                                                                                                                                                                                                                                                                                                                             
[39] " amusing poison ivy entertaining character film shes offscreen film greatly suffers "                                                                                                                                                                                                                                                                                                                                         
[40] " figure one die kissed death uma thurman isnt halfbad way go "                                                                                                                                                                                                                                                                                                                                                                
[41] " batman robin hardly ride pulsepounding excitement must admit bored watching although glance watch repeatedly screening attention kept anticipation utterance yet another terrible pun oneliner awaiting yet another scene fall flat "                                                                                                                                                                                        
[42] " long time since ive laughed much movie "                                                                                                                                                                                                                                                                                                                                                                                     
[43] " course operative word "                                                                                                                                                                                                                                                                                                                                                                                                      
