 [1] "steve martin shines sgt bilko "                                                                                                                                                            
 [2] "fails impress "                                                                                                                                                                            
 [3] "based popular s sitcom sgt "                                                                                                                                                               
 [4] "bilko follows string oldsitcomstomovie conversion fever "                                                                                                                                  
 [5] "remember brady bunch movie beverly hillbillies released sometime back "                                                                                                                    
 [6] " brady bunch moderate hit us hillbillies flopped "                                                                                                                                         
 [7] " really know whether hollywood minds running good ideas just plain lazy tvconversionmovies hitting screens like wildfire sad say mixed success "                                           
 [8] " movies mostly targeted us viewers since usually followings series larger following likely sitcom will made movie "                                                                        
 [9] "sgt "                                                                                                                                                                                      
[10] "bilko frankly seen original tv version even charm wild antics funnymen steve martin dan akroyd failed entertain "                                                                          
[11] "sgt ernest bilko man behind motor pool place vehicle storage repair fort baxter "                                                                                                          
[12] "though totally unskilled field work supposed charge almost superhuman ability zeal sniff moneymaking opportunities running gambling den military garage d pools "                          
[13] "though materialistic mind bilkos methods thoughtfully enriched lives men fort baxter providing form real recreation within camp people love "                                              
[14] "colonel hall runs entire fort thanks inborn blissfullyconfused state bilko managed hide operation though nearly every living person fort knows "                                           
[15] "bilkos state ascent suddenly underfire pentagon sends major thorn tough cookie army regulations check progress million hovertank project new weapon development within forts grounds "     
[16] " add problems thorn determined bring bilko retalliation major sabo done bilko younger army days "                                                                                          
[17] "director jonathan lynn directed cousin vinny marisa tomei won oscar bestsupporting actress managed pull sgt "                                                                              
[18] "bilko suitable pacing exceptional moments laughter "                                                                                                                                       
[19] " really enough laughterpackedmoments sgt "                                                                                                                                                 
[20] "bilko fully entertain average moviegoer "                                                                                                                                                  
[21] "still steve martins sgt "                                                                                                                                                                  
[22] "bilko played finesse fullforce renowned comedian "                                                                                                                                         
[23] "without sgt "                                                                                                                                                                              
[24] "bilko just fell flat face "                                                                                                                                                                
[25] "sgt "                                                                                                                                                                                      
[26] "bilko moderately well us box office early year doubt will earn much elsewhere around world "                                                                                               
[27] " current trend mixed successes tvconversions may blessing disguise really least will force hollywood rethink initial intentions turn another tvidea movie least approach ideas creativity "
[28] "unless fan tvseries love watch steve martin action can skip one deciding movie catch local theatres "                                                                                      
[29] "im sure better ones around "                                                                                                                                                               
