 [1] "dr alan grant sam neill jurassic park becoming disillusioned "                                                                                                                                                                                         
 [2] "paleontology longer sexy science since ingen corporation cloned subject matter "                                                                                                                                                                       
 [3] " lectures bring people interested adventures isla nubla rather research funding dollars drying "                                                                                                                                                       
 [4] " kirbys william h macy fargo tea leoni family man ask guide anniversary flyover isla sorna notorious site b lost world hes disdainful wave checkbook reconsiders "                                                                                     
 [5] "however kirbys havent given dr grant real agenda jurassic park iii "                                                                                                                                                                                   
 [6] " course audience tipped given film begins showing us eric trevor morgan patriot young boy ben mark harelik election going paragliding adventure island goes awry looks like cheesy rear projection "                                                   
 [7] "grants established back home new right hand man billy brennan alessandro nivola loves labours lost site dig montana sorely lacking funds "                                                                                                             
 [8] " also pays visit old flame dr ellie sattler laura dern jurassic park now married another young son calls grant dinosaur man apparently sole purpose dredging films poorly imagined finale "                                                            
 [9] "grant takes billy along kirbys trip really illegal gambit save son young paraglider "                                                                                                                                                                  
[10] " couple arent millionaires making grants check bogus theyre separated well eric amandas new boyfriend makes much sense meaning gooey family dynamics waiting dino dining "                                                                             
[11] " kirbys hired hands obvious bait threesome led mr udesky michael jeter gift "                                                                                                                                                                          
[12] " didnt anyone consider casting michael jeter william h macy together related little odd "                                                                                                                                                              
[13] " directed joe johnston october sky jumanji spielberg produced one risible script peter buchman election team alexander payne jim taylor jurassic park iii nothing quickie monster flick couple new dinos spinosauraus goes head head trex pteranodons "
[14] " plot series coincidences combined extreme leaps faith trifecta stupid cell phone tricks "                                                                                                                                                             
[15] " effects longer new shot television cinematographer shelly johnson rather murky looking times "                                                                                                                                                        
[16] "film editing robert dalva october sky presumably done machete keep minute run time "                                                                                                                                                                   
[17] " know reason explain ridiculous ending features survivors confronting pack raptors saved ludicrous logic jumps within minutes "                                                                                                                        
[18] "original music don davis just repeats john williams original themes "                                                                                                                                                                                  
[19] " neill young morgan attempt inject humor humanity proceedings rest cast plodding unexceptional "                                                                                                                                                       
[20] " jurassic park iii will probably provide quick entertainment go knowing expect crowd maybe liked lost world jurassic park "                                                                                                                            
