 [1] " real blonde r womans face arm pumpedup pectorals blond hair mans sad face slender legs random hand "                                                                                                                                                                                                                                                                                                           
 [2] " opening credits tom dicillos real blonde unfold scattered fractured glimpses eventually come together form image bikini briefclad man knees clinging nurturing woman head concealing unclothed breasts "                                                                                                                                                                                                       
 [3] " rest formless aimless ensemble comedy assembled coherently "                                                                                                                                                                                                                                                                                                                                                   
 [4] "joe matthew modine waiterstruggling actor proud take gigs commercials soap operas "                                                                                                                                                                                                                                                                                                                             
 [5] "hes feeling somewhat dissatisfied relationship livein love mary catherine keener holds subconscious hostility toward male gender "                                                                                                                                                                                                                                                                              
 [6] "mary makeup artist regularly works model sahara bridgette wilson obsessed underlying messages disneys little mermaid "                                                                                                                                                                                                                                                                                          
 [7] " bottle blonde turbulent onagain offagain relationship bob maxwell caulfield soap actor yearns taste real blonde finds costar kelly daryl hannah "                                                                                                                                                                                                                                                              
 [8] " film unspools variety characters pass fashion photographer blair marlo thomas marys shrink buck henry selfdefense instructor denis leary joes casting agent kathleen turner hardass boss christopher lloyd mystery woman elizabeth berkley keeps crossing joes path "                                                                                                                                          
 [9] " exactly go "                                                                                                                                                                                                                                                                                                                                                                                                   
[10] "thats question best posed writerdirector dicillo doesnt appear slightest clue "                                                                                                                                                                                                                                                                                                                                 
[11] " meandering largely unfunny script direction like hopelessly lost drivers turning deadend narrative streets reverse course hit another creative culdesac "                                                                                                                                                                                                                                                      
[12] " another "                                                                                                                                                                                                                                                                                                                                                                                                      
[13] " another "                                                                                                                                                                                                                                                                                                                                                                                                      
[14] " one point bob frustrated soap scripts complains head writer jim fyfe kellys characters keep going circles hint development growth "                                                                                                                                                                                                                                                                            
[15] " certainly case "                                                                                                                                                                                                                                                                                                                                                                                               
[16] "joe gets job ultimately botches things mary bicker make pattern repeat "                                                                                                                                                                                                                                                                                                                                        
[17] "unhappy bottle blonde bob gets real blonde unsatisfied returns faux still unsatisfied "                                                                                                                                                                                                                                                                                                                         
[18] " point dicillo dances around spending time apparent digressions turns arent digressions "                                                                                                                                                                                                                                                                                                                       
[19] " real blonde without amusements "                                                                                                                                                                                                                                                                                                                                                                               
[20] " occasional funny line situation leary henry lloyd steve buscemi dave chappelle shine small roles keener likable refreshingly earthy lead berkleys appearance mercifully brief receives outrageously prominent billing ad placement tenminute role irony caulfield play wildly popular soap star makes ratings skyrocket last year actor fired daytime drama children scant six monthsdue lack viewer interest "
[21] " whole real blonde frustrating sit lives stereotypes titleit may glossy surface theres nothing going inside "                                                                                                                                                                                                                                                                                                   
[22] " opens february "                                                                                                                                                                                                                                                                                                                                                                                               
