 [1] " now highflying hong kong style filmmaking made way classics isnt pretty "                                                                                                                                                                
 [2] " time nod asia goes way france excruciating bland lukewarm production musketeer version dumass three musketeers "                                                                                                                         
 [3] " bringing popular asian actorstunt coordinator xing xing xiong whose prior american attempts stunt choreography laughable van damme vehicle double team dennis rodman cinematic joke simon sez musketeers thrown air fighting "           
 [4] " end result tepid dull actionadventure ripoff stinks indiana jones bad asian kung fu "                                                                                                                                                    
 [5] " story simple grandmother adapted screenplay "                                                                                                                                                                                            
 [6] "dartagnan justin chambers vengeful son slain musketeer "                                                                                                                                                                                  
 [7] " travels paris join royal musketeers find man killed parents "                                                                                                                                                                            
 [8] " paris meets cunning cardinal richelieu stephen rea trying overthrow king richelieus maninblack associate febre tim roth killer folks "                                                                                                   
 [9] " finds musketeers paris disbanded drunk rounds aramis nick moran athos jan gregor kremp porthos steven spiers free musketeers wrongfully imprisoned leader treville kings prison "                                                        
[10] "dartagnan new frisky love interestchambermaid francesca mena suvari play footsy coo cardinal hunts musketeers finally queen catherine deneuve ends captured menancing febre forcing musketeers regroup dartagnan leading charge save day "
[11] "director peter hyams end days obviously wanted blend eastern western filmmaking styles disaster "                                                                                                                                         
[12] "one problem reality eastern films taken lead western ones "                                                                                                                                                                               
[13] "jet lis high risk ripoff die hard way around "                                                                                                                                                                                            
[14] "ironically awfully little swordplay action film maybe ten minutes swashbuckling spread five scenes "                                                                                                                                      
[15] " asian action films carry bulk production minute action sequences know scenes carry picture "                                                                                                                                             
[16] " musketeer instead weighs predictable monotonous screenplay gene quintano sudden death horrible acting stephen rea tim roth prosaic attempt justin chambers wedding planner deliver mousy self leader "                                   
[17] "chambers dartangnan isnt musketeer hes mouseketeer "                                                                                                                                                                                      
[18] " hyams use candles torches light grime filth th century paris wellnoted thats standout overall flat production "                                                                                                                          
