 [1] "whether considered trekker probably depends ask "                                                                                                                 
 [2] " fan original series recently retired followup well even numbered entries film series "                                                                           
 [3] "however never one folks store away trek minutiae get debates relative merits spock vs data "                                                                      
 [4] "somewhere along line star trek film series began seem directed latter category star trek generations may natural conclusion direction "                           
 [5] " production values may high writing frequently appalling instead script collection references injokes illdefined characters "                                     
 [6] "generations opens late rd century members original enterprise crew including captain james t kirk william shatner present christening latest ship bear name "     
 [7] " sooner maiden voyage distress signal brings nexus mysterious ribbon energy "                                                                                     
 [8] "among rescued nexus longlived alien dr soran malcolm mcdowell nonetoopleased back real world "                                                                    
 [9] "seventyeight years later soran still trying get back nexus encounters enterprise one led captain jeanluc picard patrick stewart "                                 
[10] "sorans plan involves destroying star inhabited planet hope saving million people historic meeting two enterprise captains "                                       
[11] " dont think insult fans star trek suggest certain extent particulars plot really important elements trek film "                                                   
[12] " chance visit old friends involved truly interesting story can considered gravy "                                                                                 
[13] " even interpretation assumes characterization consistent generations just doesnt happen "                                                                         
[14] "data brent spiner particularly victimized sloppy writing "                                                                                                        
[15] " films major subplot data decides use chip will give human emotions chip possession year "                                                                        
[16] " motivation taking drastic perhaps dangerous step "                                                                                                               
[17] " doesnt get joke "                                                                                                                                                
[18] " chip place spiner gets lot fun datas new emotions point hes longer data know "                                                                                   
[19] " rest next generation cast fares better theyre screen little theyre simply window dressing "                                                                      
[20] " story isnt really new crew "                                                                                                                                     
[21] " kirk picard cowboy politician sharing screen "                                                                                                                   
[22] " huge surprise william shatner blows patrick stewart away "                                                                                                       
[23] "perhaps knows last goround part made legend shatner looks like hes time life stewart hand borders deferrential saddled lackluster motivations everyone else cast "
[24] "stewarts edginess indicative may bad sign paramounts hopes turn new cast kind franchise original cast clearly ready big screen players "                          
[25] " contrast prologue features scotty james doohan chekhov walter koenig highlight film "                                                                            
[26] " characters become part popular mythology take enterprise moment distress moment high energy "                                                                    
[27] " thirty years history can create moment like thats time new crew doesnt "                                                                                         
[28] " certainly doesnt help plot stuck convoluted badly constructed need leave trail bread crumbs find way "                                                           
[29] " also loaded little gags aimed familiar enough series turn friends shared nudge recognition "                                                                     
[30] " wonder whether anyone coming cold trek universe point anything baffled bored going "                                                                             
[31] " waste malcolm mcdowell great monomanical villain given much compelling reason obsession "                                                                        
[32] " plenty details scientific continuity pick ignore generations major flaws "                                                                                       
[33] "however like make one recommendation seatbelts "                                                                                                                  
[34] " just enterprise crew although youd think th century space travel wouldnt involve rolling around floor battle "                                                   
[35] " think audience might need "                                                                                                                                      
[36] " journey one bumpy ride "                                                                                                                                         
