 [1] " bad mimic definitly scared "                                                                                                                         
 [2] " mimic continued frightening hollywood trend taking foreign director shows lot creative ingenuity style completely flushing comes america make movie "
 [3] "director guillermo del toro recently imported mexico made award winning inventive horror film cronos "                                                
 [4] " movie worked took unconventional story unique characters well written plot dialogue create truly scary movie "                                       
 [5] " mimic del toro doesnt bother give us anything original "                                                                                             
 [6] " plot stupid combination aliens meets species meets jurassic park "                                                                                   
 [7] " characters recycled hundred movies "                                                                                                                 
 [8] "theres nothing new mimic "                                                                                                                            
 [9] " just bunch old tricks rarely work "                                                                                                                  
[10] " end movie youre stuck wanting money back "                                                                                                           
[11] "maybe worst thing movie del toro followed another annoying trend recent movies forgot turn lights "                                                   
[12] " dont understand suspense movies lately follow seven trend set dark dank areas "                                                                      
[13] "watching mimic tempted several times yell screen turn lights "                                                                                        
[14] " switch right "                                                                                                                                       
[15] "use common sense "                                                                                                                                    
[16] "just "                                                                                                                                                
[17] "youll able see monster corner "                                                                                                                       
[18] "theres scene mira sorvino standing subway station lights flickering "                                                                                 
[19] " looked like light operator seizure sorvino didnt even notice just stood looking like deep thoughts "                                                 
[20] " hmmm "                                                                                                                                               
[21] " think bean soup good dinner tonight "                                                                                                                
[22] " mimic lot incidental shock tactics boo "                                                                                                             
[23] "just kidding follows real scare nothing movie scares "                                                                                                
[24] " audience theater never jumped suspenseful moments think bored "                                                                                      
[25] " shouldnt blame del toro "                                                                                                                            
[26] " isnt first successful foreign director come hollywood make bad movie "                                                                               
[27] "hong kong director john woo made two best action films time killer hard boiled came america make stupid broken arrow "                                
[28] "french directors luc besson la femme nikita george sluizer vanishing followed woos lead made dumbed versions movies "                                 
[29] "robert rodriguez directed terrific low budget el mariachi came hollywood directed horrible highbudget desperado "                                     
[30] " dont know foreign director shows talent country cant make good american movie "                                                                      
[31] "woo finally broke made faceoff still isnt par earlier films "                                                                                         
[32] " get feeling hollywood producer sits office chews big smelly cigar says director welcome america "                                                    
[33] " bet must tired boat long "                                                                                                                           
[34] " speak english "                                                                                                                                      
[35] "now know think youve made good movies past now youre america things little different "                                                                
[36] "just remember american audience always wants youll fine "                                                                                             
[37] " want see least one big breasted woman characters theyve seen thousand times change scares americans always need cheesy feelgood ending wrap things " 
[38] " dont make kind movie youll shining shoes time "                                                                                                      
