 [1] "im sure genius came idea comparing disturbing behavior scream "                                                                                                                                                                                                                                                                                                                                                                                                   
 [2] "maybe theyre horror films kinda hot young stars annoying alternative soundtrack aimed teenage crowd guess includes "                                                                                                                                                                                                                                                                                                                                              
 [3] " next line scream flicks well know last summer soon flicks "                                                                                                                                                                                                                                                                                                                                                                                                      
 [4] " owes less halloween kafka orwell book makes interesting feature "                                                                                                                                                                                                                                                                                                                                                                                                
 [5] " "                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 [6] " basically rehash stepford wives great s film never saw starring katherine ross dealing ive told bunch women programmed perfect housewives "                                                                                                                                                                                                                                                                                                                      
 [7] " something like "                                                                                                                                                                                                                                                                                                                                                                                                                                                 
 [8] " behavior starring katie holmes dawsons creek deals bunch teenagers deep angst programmed perfect teenagers "                                                                                                                                                                                                                                                                                                                                                     
 [9] "suckups "                                                                                                                                                                                                                                                                                                                                                                                                                                                         
[10] "preppies "                                                                                                                                                                                                                                                                                                                                                                                                                                                        
[11] " actually least sounds like work scott rosenberg witty penmen written stuff like beautiful girls things denver youre dead well con air actually sounds like may pulled right amount frights satiric wit "                                                                                                                                                                                                                                                         
[12] "alas plumets little group movies known movies potential blow "                                                                                                                                                                                                                                                                                                                                                                                                    
[13] " remember film called white mans burden dealt reversal blacks whites society nothing potentially brilliant premise "                                                                                                                                                                                                                                                                                                                                              
[14] "heres another one "                                                                                                                                                                                                                                                                                                                                                                                                                                               
[15] " brilliant satire teenagers need go teen angst order find "                                                                                                                                                                                                                                                                                                                                                                                                       
[16] " stage film fact realize "                                                                                                                                                                                                                                                                                                                                                                                                                                        
[17] " gets message across effortlessly "                                                                                                                                                                                                                                                                                                                                                                                                                               
[18] "now just needs work film "                                                                                                                                                                                                                                                                                                                                                                                                                                        
[19] " doesnt "                                                                                                                                                                                                                                                                                                                                                                                                                                                         
[20] " sloppy contrived "                                                                                                                                                                                                                                                                                                                                                                                                                                               
[21] " paints bleak portrait high school life "                                                                                                                                                                                                                                                                                                                                                                                                                         
[22] "lets lie "                                                                                                                                                                                                                                                                                                                                                                                                                                                        
[23] " brings us bunch scary monsters bunch disgustingly icky kissups food drives hang s diner drinking milk shakes "                                                                                                                                                                                                                                                                                                                                                   
[24] "gives cheap twist get horny become homicidal "                                                                                                                                                                                                                                                                                                                                                                                                                    
[25] "isnt scary enough theyre like cant real terror town next just like next die "                                                                                                                                                                                                                                                                                                                                                                                     
[26] " film introduces us two three different characters beginning considered outsiders theyre yet part clique new kid steve james marsden dull dull dull dull whos trouble home hasnt gotten brothers ethan embry quick flashes dont recognize suicide renegade girl rachel katie holmes dawsons creek whos chief personality trait prominent nose ring far interesting kid gavin nick stahl kid man without face whos interesting hes character whos given dimension "
[27] " films best scene introduces steve every single clique nailing ones fetishes hangups best scene movie witty satirical interesting something rest film isnt "                                                                                                                                                                                                                                                                                                      
[28] "gavin suspects theres something awry preppie kids known blue ribbons tradition conspirators even actually shows hard pure evidence steve hes treated typical raving conspiracy buff "                                                                                                                                                                                                                                                                             
[29] " another case idiot plot steve done something gavin happens may saved film dreary dull film without gavin gives life humor "                                                                                                                                                                                                                                                                                                                                      
[30] " halfinteresting character school janitor played william sadler retarded scary guy may seems "                                                                                                                                                                                                                                                                                                                                                                    
[31] "really dont care anyway "                                                                                                                                                                                                                                                                                                                                                                                                                                         
[32] " probably shouldnt mention directed david nutter whos works xfiles probably tarnish reputation "                                                                                                                                                                                                                                                                                                                                                                  
[33] "like show hes good setting weird conspiracies creating general creepy feel "                                                                                                                                                                                                                                                                                                                                                                                      
[34] " film shot night dark eerie shadows maximum creepy effect works "                                                                                                                                                                                                                                                                                                                                                                                                 
[35] " film good coming good payoff "                                                                                                                                                                                                                                                                                                                                                                                                                                   
[36] " keeps much inside much characters journey mental institution third act wonder just dont get hell "                                                                                                                                                                                                                                                                                                                                                               
[37] " think happens gavin proof enough theres something rotten state teen angstdom "                                                                                                                                                                                                                                                                                                                                                                                   
[38] " film needs lot longer lot colorful lot creepier "                                                                                                                                                                                                                                                                                                                                                                                                                
[39] " best villain can come guidance counselor played bruce greenwood atom egoyan regular obviously just trying pay rent still thinks can get away even revealed need come tougher smarter villain "                                                                                                                                                                                                                                                                   
[40] " hes villainous two dense teenagers couldnt figure something going way late find information couple minutes "                                                                                                                                                                                                                                                                                                                                                     
[41] " film runs minutes just needs work things become lot less sloppy "                                                                                                                                                                                                                                                                                                                                                                                                
[42] " short running time lame boring characters pretty much obvious leaving film leaves horribly unsatisfied taste ones mouth especially mine "                                                                                                                                                                                                                                                                                                                        
