 [1] "mm going enlighten day "                                                                                                                          
 [2] " dark grimy disturbing portrait underworld snuff films filled excessive violence "                                                                
 [3] " need stomach make bloated mess youll require lot patience well "                                                                                 
 [4] "nicolas cage seems quite bit overacting late "                                                                                                    
 [5] " wore bizarre getup lot yelling terminally awful snake eyes attempts performance can relate someone completely losing grip reality "              
 [6] "cage plays private investigator tom welles praised secrecy reliability "                                                                          
 [7] " home welles family man wife catherine keener small daughter take care "                                                                          
 [8] " new assignment bizarre one wife formally deceased millionaire hired solve mystery regarding film found husbands safe "                           
 [9] " film appears kind cheap pornography involving teenage girl masked man girl brutally murdered "                                                   
[10] " seems "                                                                                                                                          
[11] "welles course begins burrow deeper deeper uncover truth "                                                                                         
[12] " becomes involved disturbing case gets head "                                                                                                     
[13] " hires adult book store clerk named max california joaquin phoenix guide ugly underworld pornography "                                            
[14] "max knows welles getting explains dance devil devil dont change "                                                                                 
[15] " devil changes "                                                                                                                                  
[16] " turn wise words "                                                                                                                                
[17] "mm premise begs better execution "                                                                                                                
[18] " setup slick well played cage uncovers identity girl travels hollywood locate "                                                                   
[19] " everything goes awry "                                                                                                                           
[20] "although director joel schumacher succeeds frightening us grotesque portrait real world forgot inject interest excitement formula "               
[21] "everything movie becomes dull lifeless repelling viewer like effect bug spray insects "                                                           
[22] "although enormous potential third act mm total bust leaving intrigued audiences baffling state extreme disappointment proceedings spiral control "
[23] "cage films sole flame energy "                                                                                                                    
[24] " performance actually believable soon directors demands start weigh heavily shoulder begins stumbling along desperation "                         
[25] "still youve got give credit holding project together long easy feat consider problems hand "                                                      
[26] "welles trail soon leads bizarre filmmaker played convincingly peter stormare notorious hardesthitting snuff films industry "                      
[27] " cage goes edge serial killerlike phase must take revenge murdered innocent girl film "                                                           
[28] " tracks masked man responsible killing chris bauer bloody brawl local cemetery fight sequence look home schwarzenegger movie "                    
[29] "written andrew kevin walker mm dissipates poor mans seven violence little effectiveness made latter chilling masterpiece "                        
[30] "furthermore become joel schumacher "                                                                                                              
[31] " director recently experienced major drought slumming depths dismal flop flop batman robin anyone "                                               
[32] " putrid thriller certainly going revive career perhaps schumacher start exploring lighter side "                                                  
