 [1] "chill factor carbon copy speed one notable exception instead speeding bus now ice cream truck "                                                          
 [2] " truck driven arlo cuba gooding jr mason skeet ulrich instructed dying scientist transport deadly chemical weapon military base name fort mcgruder "     
 [3] " particular weapon nicknamed elvis must kept temperature degrees else shockwave will gooiffy everything mile radius "                                    
 [4] " pretty nasty "                                                                                                                                          
 [5] " power elvis revealed opening scene dr richard long david paymer conducts test isolated tropical island "                                                
 [6] "long accidentally melts soldiers defoliates virtually entire island due enormously miscalculated safety distance "                                       
 [7] " commanding officer general brynner peter firth sentenced years prison murder troops "                                                                   
 [8] "upon release general intent tracking good doctor snatching elvis selling weapon highest international bidder "                                           
 [9] "protecting fate world drifting hamburger flipper ulrich feisty ice cream delivery man gooding jr must elude brynners men get elvis safety fort mcgruder "
[10] " course must keep weapon degrees "                                                                                                                       
[11] " proves tricky "                                                                                                                                         
[12] "among wild adventures arlo mason partake trip treecovered mountainside boat fist fight top moving vehicle "                                              
[13] " also crack dozen witty retorts supposed find amusing "                                                                                                  
[14] " put simply ill use clever pun chill factor put ice "                                                                                                    
[15] "director hugh johnson mixed elements speed broken arrow lethal weapon series create lifelessly bland cocktail chase movie "                              
[16] " occasional action audience seems oddly detached "                                                                                                       
[17] "perhaps thats weve already waded pool clich s boring dialogue material thats used lot spice "                                                            
[18] "take villains example "                                                                                                                                  
[19] " typical stereotypes every terrorist ever walked silver screen "                                                                                         
[20] " speak lines recycled profusely one movie next divulge important plot details holding enemies gunpoint act predictable ways "                            
[21] " tagteam gooding jr ulrich sounds much exciting "                                                                                                        
[22] "frankly im sure can accept cuba ice cream man "                                                                                                          
[23] " suppose better dressed like giant hot dog selling jumbo frankfurters street corner "                                                                    
[24] "gooding displays one single emotion movie frequently display lines like im gonna get yo ass like last years underwear incessant sputtering oh sh t "     
[25] " virtually character played jerry maguire good gets "                                                                                                    
[26] " gooding exciting actor now seems dull endlessly monotonous "                                                                                            
[27] " least hes bit captivating ulrich films worst dialogue nothing noticeable enliven character "                                                            
[28] " supporting cast includes every personality expect pop also wasted "                                                                                     
[29] " fair brief moments serviceable action "                                                                                                                 
[30] " chuckle times "                                                                                                                                         
[31] "one example ulrich employee darlenes diner counter brynner walks door "                                                                                  
[32] " place "                                                                                                                                                 
[33] " general asks "                                                                                                                                          
[34] "yeah ulrich says "                                                                                                                                       
[35] " call darlene "                                                                                                                                          
[36] " little tidbits humor mainly welcome weak disappointing wreckage action film "                                                                           
[37] " speed clone benefited lot suspense perhaps god forbid even decent writing "                                                                             
[38] "sadly walked away chill factor wondering much fun "                                                                                                      
