 [1] " course knew going "                                                                                                                                                                                          
 [2] " whenever tvstar makes movie always romantic comedy say entertainment tonight something attracted characters "                                                                                                
 [3] " really original "                                                                                                                                                                                            
 [4] "original let give runthrough picture perfect character kate jennifer aniston tvs friends smart beautiful professional woman wants two things cant new jobtitle love coworker kevin bacon "                    
 [5] " boss will give job gets married gets mortgage gets lease german sportscar kevin bacon pnly sleeps married involved girls "                                                                                   
 [6] " "                                                                                                                                                                                                            
 [7] " invents fiance "                                                                                                                                                                                             
 [8] " everyone wants meet tells poor schmoe met wedding will pay pretend love company dinner pick fight end thus breaking engagement still able keep job since guy ends looking like jerk poor defenceless female "
 [9] " course goes along "                                                                                                                                                                                          
[10] "gee wonder get together end "                                                                                                                                                                                 
[11] "ive seen original stuff wb "                                                                                                                                                                                  
[12] " better stuff "                                                                                                                                                                                               
[13] "picture perfect also makes mistake wayyyyy long minutes expecting us like anistons character comes cold spoiled bitch "                                                                                       
