 [1] "can horror movie truly called horror movie scares suspense even eerie elements "                                                                                                                                              
 [2] " think thats children corn issacs return wants us believe "                                                                                                                                                                   
 [3] " sixth installment horrible worn series far worst date "                                                                                                                                                                      
 [4] "unlike five chapters children corn confusing brainless thriller takes psychological horror route rather slasher horror either way none movies least bit scary "                                                               
 [5] " film follows hannah natalie ramsey teen looking mother gatlin nebraska eve st birthday "                                                                                                                                     
 [6] " starts daughter desperate search long lost mother turns story hannah first daughter children corn roam cornfields looking adults murder "                                                                                    
 [7] "thats thats understandable film learn much issac john franklin led children corn previous chapter now older strange man looking hannah fulfill prophecy "                                                                     
 [8] " supposed make sense "                                                                                                                                                                                                        
 [9] "really "                                                                                                                                                                                                                      
[10] " start film unclear going developing characters throwing concrete plot details across table constantly introducing new characters without personalities slightest hint individuality sub plots nothing seems main focus film "
[11] " film runs short minutes seems vicinity two hours bleak slow pacing makes children corn issacs return excruciatingly boring "                                                                                                 
[12] "plot holes everywhere tim sulka john franklins unbelievably horrible script nothing accomplished clear film reaches conclusion "                                                                                              
[13] "everyone everything involved children corn issacs return namely writers john franklin tim sulka along director kari skogland crawl rock hope one sees horrible work trash "                                                   
[14] " bottom line horrible horrible horrible "                                                                                                                                                                                     
[15] "another attempt revive worn genre falls flat "                                                                                                                                                                                
[16] " whats title "                                                                                                                                                                                                                
[17] " devil nothing whatsoever film "                                                                                                                                                                                              
[18] "lets pray finale one worst current film series "                                                                                                                                                                              
[19] "one worst horror films years "                                                                                                                                                                                                
