 [1] "synopsis al simmons topnotch assasin guilty conscience dies fiery explosion goes hell "                                                                                                                         
 [2] "making pact malebolgia chief demon simmons returns earth years later reborn spawn general hells army donning necroplasmic costume replete knives chains morphing cape "                                         
 [3] "sullen wise cogliostro flatulating wisecracking violator vy spawns attention "                                                                                                                                  
 [4] "comments todd mcfarlane left marvel comics made name firstrate comic book penciller spiderman titles join newlyformed creatorowned image comics new comic book legend born spawn "                              
 [5] "mcfarlanes spawn immediately became commercial critical success defining comic book series s "                                                                                                                  
 [6] "mcfarlane created hero original visually intricate allowing mcfarlane utilize knack artistic detail max "                                                                                                       
 [7] " early spawn issues brilliantly capture mcfarlanes genius illustration show early attempts writing "                                                                                                            
 [8] " popularity spawn success current warner bros s batman film franchise movie version sort seemed inevitable spawn "                                                                                              
 [9] " summer hence new line cinema released spawn liveaction film based groundbreaking series "                                                                                                                      
[10] " topheavy exercise violence special effects unfortunately topples quickly leaves fans comic book like numbed much spawn misses mark "                                                                           
[11] " happened "                                                                                                                                                                                                     
[12] " spawn bad "                                                                                                                                                                                                    
[13] "todd mcfarlane executive produced disappointing misfire even appears cameo "                                                                                                                                    
[14] " dont think however presence necessarily hurt helped film "                                                                                                                                                     
[15] " place blame part recent hollywood trend fueled public demand apparently special effects blowout movies utilizing latest computer technology "                                                                  
[16] " films focus upon effects expense everything else character plot dialogue etc spawn reflecting trend shows audience one gratuitous scene another populated morphing characters filled unnecessary pyrotechnics "
[17] "hardly minute goes film without fires explosions knives chains appearing nowhere glowing eyes constantly transforming demons "                                                                                  
[18] " lot visually interesting technically solid dont get wrong script cast arent engaging spawn ultimately comes across like overwrought wallpaper surface may capture eye nothing exists underneath "              
[19] "spawns translation comic book suffers storyline level "                                                                                                                                                         
[20] "mcfarlanes spawn tortured hero "                                                                                                                                                                                
[21] " mercenary trade al simmons nonetheless warm man love beautiful wanda "                                                                                                                                         
[22] " died journeyed hell made pact return earth wanda "                                                                                                                                                             
[23] "simmons however discovers memories fragmented body creepy mess wife married "                                                                                                                                   
[24] "despite sometimes violent nature readers couldnt help feel sympathetic toward plight spawn underworld "                                                                                                         
[25] "spawn attempts show spend nearly time "                                                                                                                                                                         
[26] " characters developed seem absurd rather touching "                                                                                                                                                             
[27] " cartoonish dialogue implausible subplot general possesses antidote supervirus called heat wishes unleash enslave world help matters "                                                                          
[28] "spawn apparent attempt duplicate success batman also unwisely spends much time villain violator batman favored joker batman "                                                                                   
[29] "john leguizamo like jack nicholson batman receives top billing cast violator michael jai white al simmons spawn second "                                                                                        
[30] " ordinarily find leguizamo intensely annoying presence films seems make perfect candidate violator "                                                                                                            
[31] " film however spends much time violators offensive antics grate nerves "                                                                                                                                        
[32] "apparently meant comic relief film nicholson batman especially contrasted sullen spawn violators lines oftentimes grotesque unfunny leaving audience wishing leave "                                            
[33] "leguizamo satisfactory job role seen far often film "                                                                                                                                                           
[34] "michael jai white relative newcomer theatrical releases seems appealing actor handles role adequately see little without various masks "                                                                        
[35] " time needed spent whites character became spawn movie pull heartstrings "                                                                                                                                      
[36] " special note made martin sheen overthetop obnoxious evil general wynn "                                                                                                                                        
[37] "easily hammiest performance movie hard imagine sheen mucked role much played vietnam assasin brilliantly great apocalypse now "                                                                                 
[38] "sheens excessive demeanor help audience accept mastermind villain comes surprise considering extensive career film "                                                                                            
[39] "many elements conspire disappointing script abundant special effects drag spawn "                                                                                                                               
[40] "mtvstyle jerky inyourface editing one "                                                                                                                                                                         
[41] "flames example roll across screen sometimes announce shift setting "                                                                                                                                            
[42] "cogliostro unlikely wannabe guide spawn serves poor narrator film "                                                                                                                                             
[43] " goofily tells audience one point much spawns humanity left remains seen audience really cares one violent sequence leads another "                                                                             
[44] " music finally assaults audience much manic violence offensive dialogue "                                                                                                                                       
[45] "loud obnoxious hard rock fused drum loops dominate scenes "                                                                                                                                                     
[46] " fair however marilyn mansons long hard road hell effectively compliments spawns return earth filter crystal methods cant trip like proves surprisingly fitting theme song "                                    
[47] " good comic book spawn spawn good movie "                                                                                                                                                                       
[48] "spawn instead suffers much pomp circumstance little plot character development "                                                                                                                                
[49] " receives two stars technically welldone special effects "                                                                                                                                                      
[50] "many films though equal superior special effects much better "                                                                                                                                                  
[51] "rated pg spawn seems violent many rrated movies probably wouldnt appropriate young "                                                                                                                            
