 [1] " sensuous romantic comedy appealing average lightweight tv sitcom "                                                                                                                                                            
 [2] " special ingredient menu dished kind stuff ive seen made nauseous silly idea love thinks funny "                                                                                                                               
 [3] " film plans exploit beauty sweetness delicious star pen lope cruz plays brazilian chef magical touch bringing spices preparations aromas just sensually waft cooking pot cant get looks alone transparently predictable story "
 [4] "pen lope wonderful pedro almod vars mother visible stale story can smile tease audience us see constant barrage cleavage shots bends cooking somehow looks ridiculous got egg face "                                           
 [5] " best can say shes blame picture "                                                                                                                                                                                             
 [6] " exploitation sex film without even delivering nudity sex opinion worst raunchy film delivers says will "                                                                                                                      
 [7] " story love motion sickness cooking ability isabella cruz born bahia brazil learns cook early age parents cook "                                                                                                               
 [8] " cure motion sickness parents tried every remedy went spiritualist prayed goddess sea cure "                                                                                                                                   
 [9] " able control now long doesnt drive car ride elevators follow dancing woman top making love "                                                                                                                                  
[10] " words control things "                                                                                                                                                                                                        
[11] " small fishing town falls love handsome macho latin waiter toninho oliveira murilo ben cio marries "                                                                                                                           
[12] " open successful restaurant slaves away kitchen gets credit even though hes loafer "                                                                                                                                           
[13] "one night catches bed another girl decides leave san francisco "                                                                                                                                                               
[14] " dont see flight cant tell handled motion sickness problem unless flew plane "                                                                                                                                                 
[15] " visits friends apartment monica harold perrineau jr crossdresser blending right san francisco scene "                                                                                                                         
[16] " cast away love irresistible toninho calls spiritualist friend gets cast irreversible spell freeing ever loving "                                                                                                              
[17] " luck changes local tv producer cliff mark feurerstein gets whiff cooking storms cooking class spell presents live tv cooking show "                                                                                           
[18] " can really write script despondent toninho begins realize good thing things continue go bad curse caused fishing village chef replace wife restaurant close good "                                                            
[19] " comes san francisco figuring can charm "                                                                                                                                                                                      
[20] " brings along guitar playing musicians ones used courting serenaded window "                                                                                                                                                   
[21] " sees wife tv monica sidekick yuppie tv producer chasing sees longer charmed "                                                                                                                                                 
[22] " sneaks tv show set tries woo musical group singing corny love songs ratings go hes hired regular show "                                                                                                                       
[23] " show gets big network honchos come onboard taking national "                                                                                                                                                                  
[24] " want change ethnic flavor show get rid monica hes freak isabella cook tabasco instead brazilian peppers uses change ethnic dresses lowcut vanna white type sexy dresses "                                                     
[25] "cliff wouldbe boyfriend acts creepy sides network bigshots even though loved everything "                                                                                                                                      
[26] " tv scenes bad stereotype scenes tv honchos revolting "                                                                                                                                                                        
[27] " insult ones intelligence "                                                                                                                                                                                                    
[28] "im sure im spoiling ending anyone tell toninho reforms macho ways together cook meal breaks spell loving "                                                                                                                     
[29] " film wasnt terrible enough monica cliff act attraction become lovers "                                                                                                                                                        
[30] " awkwardly done sense truth humor "                                                                                                                                                                                            
[31] " film might well made network guys featured film doesnt look feel like almod var film type film aspired like film interferred "                                                                                                
[32] " like futile commercial film annoying charming dull chic searches box office heaven "                                                                                                                                          
