 [1] "ah going along well "                                                                                                               
 [2] " shes dubious distinction worst movie ive seen far year "                                                                           
 [3] " quite frankly doubt ill see anything equally bad "                                                                                 
 [4] " least hope dont see anything equally bad "                                                                                         
 [5] " shes tells story popular guy school played freddie prinze jr accepts bet transform geekiest girl school rachel leigh cook popular "
 [6] " right problem "                                                                                                                    
 [7] " many times seen storyline "                                                                                                        
 [8] " cook comments near end film kind like pretty woman except without prostitution "                                                   
 [9] " course filmmakers attempted try something new material wellworn storyline device propell movie forward "                           
[10] " though shes relies completely lame overused formula push ahead "                                                                   
[11] "theres one original interesting character film either wasnt bad enough theres one good performance featured "                       
[12] " star movie rachel leigh cook simply horrible "                                                                                     
[13] " usually dont like get personal case think needs said "                                                                             
[14] "cook wears expression throughout flick looks miserable time "                                                                       
[15] " never convinced nerd transformation unconvincing unnecessary "                                                                     
[16] " movie seems saying better popular "                                                                                                
[17] " freddie prinze jr actor ordinarily enjoy quite bad "                                                                               
[18] " coasts film socalled charm never establishes real character "                                                                      
[19] "kieren culkin brother cook "                                                                                                        
[20] " indiscernable reason hes got hearing aids "                                                                                        
[21] " explanation given theyre never brought "                                                                                           
[22] " supposed feel sorry just wore hearing aids "                                                                                       
[23] " dont think "                                                                                                                       
[24] " single element film one offensive things ive seen movie long time "                                                                
[25] " shes sucks "                                                                                                                       
[26] "thats boils "                                                                                                                       
[27] " entertaining even good time passer "                                                                                               
[28] " hour half running time goes slower minute hairremoval system informercial "                                                        
[29] " whats worse sends bad message teens "                                                                                              
[30] " appears telling hey doesnt matter youre happy way "                                                                                
[31] "thats unimportant "                                                                                                                 
[32] " want truly happy dress latest fashions act like bubbleheaded moron "                                                               
[33] "ugh "                                                                                                                               
