 [1] " cant recall previous film experience fairly good time turned sour quickly feeling minnesota "                                                                                                                                         
 [2] " forty minutes lured loopy occasionally overwrought romantic comedy even giving keanu reeves benefit doubt "                                                                                                                           
 [3] " rather suddenly clubbed head nasty bit violence shortly thereafter whacked gut another "                                                                                                                                              
 [4] "feeling minnesota film made feel violated though trusted writerdirector steven baigelman bring cool glass water instead threw acid face "                                                                                              
 [5] "feeling minnesota tells story topless dancer named freddie cameron diaz finds deep trouble boss red delroy lindo suspects stealing "                                                                                                   
 [6] "reds punishment force freddie marry bookkeeper sam clayton vincent donofrio far man freddies dreams "                                                                                                                                  
 [7] "enter jjaks keanu reeves sams estranged younger brother arrives wedding just time catch freddies eye sex bathroom "                                                                                                                    
 [8] "united mutual attraction mutual loathing sam jjaks freddie take together sam isnt ready let go without fight "                                                                                                                         
 [9] "freddie meanwhile isnt ready let sams money go without fight thus begins series violent confrontations "                                                                                                                               
[10] " style substance beginning feeling minnesota baigelman opens effective montage showing jjaks sams intense sibling rivalry boys mother tuesday weld sending jjaks away live father "                                                    
[11] " great job setting jjaks unstable life life landed trouble petty crimes always trying please family reeves wounded look just right jjaks "                                                                                             
[12] " wedding sequence includes number nice moments notably aforementioned bathroom scene simple question given funny spin "                                                                                                                
[13] " important baigelman begins establish connection freddie jjaks humor economy scene spontaneously begin singing along replacements will dare car radio "                                                                                
[14] " every reason expect relationships familial romantic focal point feeling minnesota "                                                                                                                                                   
[15] "unfortunately dead wrong "                                                                                                                                                                                                             
[16] " suppose expected daisies valentines early scene red threatens freddie tries avoid wedding certainly didnt expect got "                                                                                                                
[17] " got yet another long line recent films trying ride tarantino wave mixing gags brutality rather creating gags brutality "                                                                                                              
[18] "suddenly story romantic entanglements family conflict becomes story corpse everything come degenerates completely virtually nothing recognizable "                                                                                     
[19] " sibling rivalry becomes little excuse one round beatings another consistency characterizations "                                                                                                                                      
[20] "vincent donofrio turns manic performance sam whose jealousy competitiveness apparent sense inferiority seem far keeping know jjaks reeves turns framed hero reminiscent chain reaction spend second half film screaming covered blood "
[21] " films managed employ radical shift tone successfully jonathan demmes something wild neil jordans crying game come mind didnt try draw audience promise relatively innocuous entertainment "                                           
[22] " dont want dismiss baigelmans successes hand gets fun performance dan aykroyd crooked cop wellcrafted comic moments fault fine line chosen promote feeling minnesota lighthearted caper "                                              
[23] " fault violates characters sake shock value cant make two halves whole "                                                                                                                                                               
[24] "feeling minnesota left feeling used theres much funny "                                                                                                                                                                                
