 [1] "talk beating dead horse "                                                                                                                                                                                                  
 [2] " home alone released breath fresh air final box office tally indicated much audiences appreciated genuinelyfunny family film "                                                                                             
 [3] " unexpectedly high gross guaranteed sequel two years later subjected home alone might well called clone alone originality exhibited "                                                                                      
 [4] " john hughes two home alone movies werent enough began recycling kinds villains situations almost every movie involved including pathetic box office bomb called babys day last years liveaction dalmatians years flubber "
 [5] "now inexplicably hughes exhumed wornout plot elements home alone name well "                                                                                                                                               
 [6] " result s worst sequel edging speed batman robin home alone "                                                                                                                                                              
 [7] " changing characters hughes wrote coproduced film along coconspirator director raja gosnell attempted inject new life series way past point cardiac arrest "                                                               
 [8] " new kid alex pruitt played alex d linz one fine day thing going terminal cuteness "                                                                                                                                       
 [9] "hes half interesting macaulay culkin "                                                                                                                                                                                     
[10] " villains pale copies joe pesci daniel stern even less engaging pair idiots flubber "                                                                                                                                      
[11] " home alone four olek krupa david thornton lenny von dohlen rya kihlstedt means opportunity twice many pratfalls "                                                                                                         
[12] " time kid isnt left home alone parents gone trip "                                                                                                                                                                         
[13] "instead developed bad case chicken pox cant go school "                                                                                                                                                                    
[14] " dad kevin kilner away business mom haviland morris run errands part hes day "                                                                                                                                             
[15] " series coincidences irritating relate top secret u s air force integrated circuit comes possession "                                                                                                                      
[16] " wanted gang four international crooks intend break alexs home retrieve "                                                                                                                                                  
[17] " eight year old wise beyond years booby traps house sorts rube goldbergtype devices designed humiliate incapacitate villains "                                                                                             
[18] " movies climax takes place raging snowstorm none falling flakes looks remotely believable "                                                                                                                                
[19] "previously counterfeitlooking snow effects can remember star trek iii "                                                                                                                                                    
[20] " far worse "                                                                                                                                                                                                               
[21] " fact production values shoddy scenes midst nearblizzard shining sun can seen "                                                                                                                                            
[22] " wonderful life generate real looking snow back s cant home alone significantly larger budget s technology disposal "                                                                                                      
[23] " ongoing debate regarding appropriateness liveaction cartoon violence young children "                                                                                                                                     
[24] "home alone will add fuel fire "                                                                                                                                                                                            
[25] " one thing see wyle e coyote flattened ton acme weight quite another watch running lawn mower fall lenny von dohlen "                                                                                                      
[26] "adults even older children will recognize obviously fake intended humorous five sixyear olds "                                                                                                                             
[27] " level violence home alone extreme many alexs schemes nasty enough kill "                                                                                                                                                  
[28] " family film one dies despite electrocuted falling thirty feet getting smacked head barbell "                                                                                                                              
[29] " home alone unnecessary offensive "                                                                                                                                                                                        
[30] " exercise tediousness isnt genuine laugh found beginning end unless strange quirk fate missed every s movie associated john hughes thus havent seen stuff "                                                                
[31] " cant imagine anyone reasonable attention span momentarily distracted pointless adventure "                                                                                                                                
[32] "maybe thats ones laughing screening attended still thumbsucking years "                                                                                                                                                    
