 [1] "susan grangers review glitter th centuryfox "                                                                                                                                                      
 [2] "theres less meets eye "                                                                                                                                                                            
 [3] " put way thought madonna awful shanghai surprise mariah careys worse reworking star born "                                                                                                         
 [4] " plays billie frank despite abandoned singeralcoholic mother valerie pettiford believes shes destined greatness everyone tells "                                                                   
 [5] " youve got amazing gift gotta use roommate says "                                                                                                                                                  
 [6] " voice incredible says another singer "                                                                                                                                                            
 [7] " aint never met anyone like proclaims julian dice black max beesley hot new york dj becomes svengalilike producerlover "                                                                           
 [8] "problem signature song didnt mean turn wretched "                                                                                                                                                  
 [9] " fumes filming first music video director wants exploit wear bikini audience bursts laughter "                                                                                                     
[10] "exploit mariah carey chooses wear little law will allow "                                                                                                                                          
[11] "come "                                                                                                                                                                                             
[12] "writer kate laniers script fatuous director vondie curtishall doesnt clue handle glitzy pop diva result incompetence whisperyvoiced ms carey seems embarrassed onscreen "                          
[13] " almost cringes camera comes closeup pursing lips averting glassy eyes "                                                                                                                           
[14] "talented british musician max beesley appears equally inept cinematographer geoffrey simpson pans around manhattan skyline theres audible audience groan twin towers world trade center come view "
[15] "perhaps one reasons ms carey suffered highlypublicized nervous breakdown summer saw preview clunker "                                                                                              
[16] " granger movie gauge glitter pathetic "                                                                                                                                                            
[17] "right now tops list worst "                                                                                                                                                                        
