 [1] " thirty years later oscar felix together "                                                                                                                                                                                                    
 [2] " might exciting notion wasnt fact odd couple jack lemmon walter matthau reunited several recent movies s grumpy old men s grumpier old men s sea e "                                                                                          
 [3] " grumpiest old men "                                                                                                                                                                                                                          
 [4] " odd couple ii e "                                                                                                                                                                                                                            
 [5] " grumpiest old men really seems just another entry tired series "                                                                                                                                                                             
 [6] " plot even similar grumpy old men lemmon matthaus mismatched characters brought together romance children "                                                                                                                                   
 [7] "oscars son jonathan silverman felixs daughter lisa waltz getting married former roommates felix ungar lemmon oscar madison matthau meet airport decide share car "                                                                            
 [8] " "                                                                                                                                                                                                                                            
 [9] " "                                                                                                                                                                                                                                            
[10] " hilarity ensues "                                                                                                                                                                                                                            
[11] "well chuckles ensue anyway "                                                                                                                                                                                                                  
[12] "neil simon awardwinning playwright created oscar felix provides screenplay shock script piece talentless hackwork beginning end "                                                                                                             
[13] "unlike original playmovie odd couple ii doesnt find humor personality conflict characters "                                                                                                                                                   
[14] "instead depends upon series humorous situations oscar felix lose car cliff caught smuggling mexicans border take two women run violent husbands women played christine baranski cybill jean smart designing women hitch ride man dies desert "
[15] " original movie odd couple remains classic comedy "                                                                                                                                                                                           
[16] " introduced motif roommateasspouse provided gags movies sitcoms ever since "                                                                                                                                                                  
[17] " second outing lemmonmatthau team debuted s fortune cookie made couple worthwhile comedies front page buddy buddy going separate ways "                                                                                                       
[18] " reunion lemmon matthau grumpy old men six years ago delightful sequel seemed appropriate tied loose ends first movie "                                                                                                                       
[19] " sea odd couple ii just beating grumpy old horse "                                                                                                                                                                                            
[20] " can add lemmons fellow americans e "                                                                                                                                                                                                         
[21] " grumpy old presidents list "                                                                                                                                                                                                                 
[22] "lets hope hollywood offers two actors something fresh "                                                                                                                                                                                       
[23] "lets hope also see neil simons name movies justice first since s lost yonkers "                                                                                                                                                               
