 [1] "soldier hands one worst movies person ever sit doesnt jean claude van damme "                                                                  
 [2] " liken scifi cheese hollywood productofchoice back early s much compliment "                                                                   
 [3] " movie theater hell film playing hours day "                                                                                                   
 [4] " story revolves around todd kurt russell automaton man raised birth merciless soldier nottoodistant ultraconservative future kind "            
 [5] " years desensitization military academy full boys just like todd becomes ground fighter series wars galaxy "                                   
 [6] " enemies wars never revealed glimpses todd battle show doesnt matter innocent hostages wiped indifferently bad guys "                          
 [7] " ten minutes nihilistic trash yes folks theres see todd buff scarred adult now accustomed carnage confrontation causes break sweat "           
 [8] "theres new wrinkle though "                                                                                                                    
 [9] "todd brethren declared obsolete new batch soldiers takes place "                                                                               
[10] " losing sanctioned battle dragons jason scott lee seemingly dead todd dumped flying icecube tray well thats looked like remote garbage planet "
[11] " predict todd meets bunch outcast settlers planet band together fight bunch bad guys coming destroy youre way ahead game "                     
[12] " renegade society trash heap clich halfexpect tina turner master blaster come strolling frame minute "                                         
[13] " surprising soldier brainchild blade runner cowriter david webb peoples "                                                                      
[14] "unlike mindtwisting classic film contains just barely enough dialogue fill three doublespaced pages "                                          
[15] "add mix mortal kombats paul anderson inept direction easy see soldier turned bad "                                                             
[16] " special effects "                                                                                                                             
[17] "remember flying steam irons hardware wars "                                                                                                    
[18] "gary busey movie "                                                                                                                             
[19] "nuff said "                                                                                                                                    
[20] "soldier proof hollywood still plenty bad ideas sitting script vaults "                                                                         
[21] " sad film made silver screen encourage plenty aspiring screenwriters hope "                                                                    
[22] "now youll excuse go weep future "                                                                                                              
