 [1] " continually amazed movies like "                                                                                                                                    
 [2] " producer waste abundance talent money script abysmal one mindboggeling seems happen lot nowadays "                                                                  
 [3] " wild wild west beautifully filmed well acted well directed piece garbage insipid screenplay completely fault "                                                      
 [4] " short movie comedy without laughs "                                                                                                                                 
 [5] " many jokes fall flat borderlines surreal "                                                                                                                          
 [6] " high production values keep total fiasco still pretty boring "                                                                                                      
 [7] "will smith stars jim west old western rb variation james bond character "                                                                                            
 [8] "west teamed artemus gordon kevin kline theyre pretty much polar oppisites west prefers solve problems array bullets gordon traditionally favors pacifistic approach "
 [9] "talk deeply developed characters "                                                                                                                                   
[10] " rate leads inevitable conflicts methodologies none funny "                                                                                                          
[11] " year "                                                                                                                                                              
[12] "several top scientists abducted suspected culprit disgruntled former confederate general bloodbath mcgrath ted levine "                                              
[13] "president grant sends west gordon investigate "                                                                                                                      
[14] "theres evidence mcgrath attending sort confederate reunion louisiana "                                                                                               
[15] "west gordon show learn mcgrath actually working dr arliss loveless kenneth branagh another disgruntled former confederate "                                          
[16] " turns loveless plans use combined knowledge scientests create ultimate super weapon will use conquer united states "                                                
[17] "id go plot isnt point "                                                                                                                                              
[18] " films narrative little jumbled unfunny mess "                                                                                                                       
[19] " laughed couple jokes lightly "                                                                                                                                      
[20] " isnt one truly uprorously funny moment film thats pretty disasterous consider primarily comedy "                                                                    
[21] " said fault totally script "                                                                                                                                         
[22] " consider respective roles will smith kevil kline good possibly done "                                                                                               
[23] " leads couldve played samuel l jackson robert de niro film still wouldve awful "                                                                                     
[24] " one mean one can make line like bye bye mr knife guy "                                                                                                              
[25] "sound good "                                                                                                                                                         
[26] "still film lot going visually "                                                                                                                                      
[27] " set design fantastic maybe even oscar worthy "                                                                                                                      
[28] " cinematogrophy michael ballhaus also behind camera martin scorseses brilliant goodfellas absolutely stunning "                                                      
[29] " lends film much needed exciting comic bookish look "                                                                                                                
[30] " wont fault barry sonnenfeld either "                                                                                                                                
[31] " fine job directing proceedings like rest people involved film really isnt anything can correct one major flaw "                                                     
[32] "despite beautifully made wild wild west becomes quite boring halfway point "                                                                                         
[33] " appeal visuals ends long film "                                                                                                                                     
[34] " wild wild west didnt look good almost insufferable "                                                                                                                
[35] " somewhat tolerable entertaining "                                                                                                                                   
[36] " hurts give well made movie score low isnt anything much worse unfunny comedy "                                                                                      
