 [1] "hey ive got great idea movie "                                                                                                                                                                       
 [2] "ok well get tim allen pull angry faces two hours "                                                                                                                                                   
 [3] "whats "                                                                                                                                                                                              
 [4] "sounds boring "                                                                                                                                                                                      
 [5] "ok still tim allen pull faces two hours half angry looks half im pain "                                                                                                                              
 [6] "looks "                                                                                                                                                                                              
 [7] "whats "                                                                                                                                                                                              
 [8] " still doesnt sound funny "                                                                                                                                                                          
 [9] " ewwwww "                                                                                                                                                                                            
[10] "looks "                                                                                                                                                                                              
[11] "still funny "                                                                                                                                                                                        
[12] " answered doesnt sound funny ding ding ding "                                                                                                                                                        
[13] "youre absolutely correct "                                                                                                                                                                           
[14] " richer poorer moronic farce rich married couple played tim allen kirstie alley seek refuge amish community bumbling accountant wayne knight best know newman tvs seinfeld gets trouble tax evasion "
[15] " ensues badly scripted horribly directed minutes cinema hell "                                                                                                                                       
[16] " makes wrong nobody seems film needs "                                                                                                                                                               
[17] " "                                                                                                                                                                                                   
[18] " "                                                                                                                                                                                                   
[19] "namely talent "                                                                                                                                                                                      
[20] "backing married couple brad caroline sexton allen alley popular snobby duo seem totally love everyone else reality brink divorce "                                                                   
[21] "just marriage seems hanging final thread brad discovers accountant bob lachman knight engaging illegitimate deals sextons names "                                                                    
[22] " irs catches since everything points back sextons lachman nothing much "                                                                                                                             
[23] " "                                                                                                                                                                                                   
[24] " "                                                                                                                                                                                                   
[25] "except run away join amish community "                                                                                                                                                               
[26] "first time screenwriters jana howington steve lukanic give us couple chuckleoutloud moments even decent laughs way much cringe horribly made film youll likely miss laughs regurgitating popcorn "   
[27] "alley absolutely unwatchable chemistry allen believable chemistry homework tenth grade inform total b s "                                                                                            
[28] "allen alley way convincing tycoons convincing amish couple "                                                                                                                                         
[29] " entire movie one bad illconceived notion curtailed beginning "                                                                                                                                      
[30] " amish movie also flimsy unconvincing "                                                                                                                                                              
[31] " trite stereotypical script imagine actors cast noticing theyre predominantly tv figures probably ones get "                                                                                         
[32] "bryan spicers directing doesnt help one bit either "                                                                                                                                                 
[33] " fact listing spicers filmography includes first power rangers movie big screen adaption mchales navy insult r sum "                                                                                 
[34] "now ive pretty much run richer poorer ground will let best thing "                                                                                                                                   
[35] " bumped seven films notch worst movie list "                                                                                                                                                         
[36] "thats right thanks film ranking number years worst six films now seemingly bad smile like previously inhabiting number ten spot now doesnt suffer ridicule making bottom ten list "                  
[37] " look respect richer poorer will end making someone happy "                                                                                                                                          
