 [1] " son share perverse predilection bad movies "                                                                                                                          
 [2] " amused entertained cheap thrills corny dialog ludicrous premises bad acting "                                                                                         
 [3] "since family members aspire higher forms entertainment usually wind indulging proclivity together "                                                                    
 [4] " cant remember disagreed relative merits clunker species came along "                                                                                                  
 [5] " amused "                                                                                                                                                              
 [6] " hand able easily suspend applicable requirements usual manner declare suitably entertained "                                                                          
 [7] "perhaps evident skills brought process producing bad product prevented extracting fun mediocrity "                                                                     
 [8] " hand appreciated fact producers director knew exactly insulting intelligence brought adequate moviemaking skills project movie good well made least terms craft "     
 [9] " movie better brusque "                                                                                                                                                
[10] " movie slaps conception pregnancy delivery young childhood consecutive frames without pausing infancy "                                                                
[11] " producers nescafe nothing alien race womans womb balloons immediately male orgasm seconds later young child tears way abdomen sloppy gory version insideout cesarean "
[12] " autopsy scene buzz saw cuts cranium kind indulgence condone say nothing fact scientifically incorrect "                                                               
[13] " real autopsy saw cut scalp used skull exposed "                                                                                                                       
[14] " opening sequences exploration mars good "                                                                                                                             
[15] " writers showed excellent skills ceremonial speech writing spontaneous dialogue qualify subtitle bad gets "                                                            
[16] " movie progressed vowed remember lines made cringe one stuck "                                                                                                         
[17] "eve natasha henstridge cloned sil original alien sexual predator mating instinct artificially attenuated needed turn noble cooperative prisoner "                      
[18] " wistful display resignation understanding tells friend jailer marg helgenberger think places will never see people will never meet "                                  
[19] " enough melt callous heart "                                                                                                                                           
[20] " another point protests im human know "                                                                                                                                
[21] " half right "                                                                                                                                                          
[22] "peter medak director knows business "                                                                                                                                  
[23] "justin lazard doomed astronaut nothing enhance hollywood credentials "                                                                                                 
[24] "james cromwell father perfect short role "                                                                                                                             
[25] "marg heldenberger dna scientist pleasant beautiful "                                                                                                                   
[26] "natasha exquisite ornament "                                                                                                                                           
[27] "george dzunza knew delivered expected dumb general messes things "                                                                                                     
[28] "michael madsen "                                                                                                                                                       
[29] "black buddies usually survive type movie mykelti williamson manages stay around final credits can say lazard "                                                         
