 [1] "american pie filled laughs "                                                                                                                                                                                  
 [2] " mostly cheap ones built primarily upon sexual degradation adolescent humor fit locker room movie theater "                                                                                                   
 [3] "im prude admit laughing along everyone else preview screening sequel hit comedy "                                                                                                                             
 [4] " laughs built discomfort embarrassment intrinsic humor within story "                                                                                                                                         
 [5] " separates american pie predecessor heart "                                                                                                                                                                   
 [6] " original noted warm pleasant outing travails growing "                                                                                                                                                       
 [7] "well quartet chums jim jason biggs oz chris klein kevin thomas ian nicholas finch eddie kaye thomas grown "                                                                                                   
 [8] " least year older dont seem wiser "                                                                                                                                                                           
 [9] "fresh first year college quartet along obnoxious stifler seann william scott rent summer house lake order attract girls attempt score "                                                                       
[10] " usual nothing goes right last reel "                                                                                                                                                                         
[11] " left five guys spending nearly two hours drooling various young women "                                                                                                                                      
[12] " american pie rather degrading women "                                                                                                                                                                        
[13] " part shown individuals "                                                                                                                                                                                     
[14] " nothing potential recipients overactive raging hormones "                                                                                                                                                    
[15] " telling normal couple oz heather mena suvari spend bulk film trying phone sex shes overseas exchange student program "                                                                                       
[16] "despite college jim still klutzy awkward unsure around opposite sex "                                                                                                                                         
[17] " pratfalls humiliations heaped upon including painful episode involving instant gluelike substance "                                                                                                          
[18] "also uncomfortable watch sequence involving three lads two young women roommates boys suspect lesbians "                                                                                                      
[19] " offensive plays upon outdated adolescent stereotypes generate laughs "                                                                                                                                       
[20] " first film despite raunchy moments innocent charm "                                                                                                                                                          
[21] " sequel cynical "                                                                                                                                                                                             
[22] " knows predominantly male audience members want unabashedly gives many mentions finchs encounter stiflers mom becomes tiresome running gag throughout eugene levys return jims wellmeaning tryingtobehip dad "
[23] " performer actually given new fresh material alyson hannigan michelle band geek original "                                                                                                                    
[24] " sequel imbues character vulnerability wisdom maturity "                                                                                                                                                      
[25] "american pie presold commodity will earn several million box office "                                                                                                                                         
[26] " shame though rush rake bucks screenwriter adam herz also penned original set sights higher "                                                                                                                 
[27] "american pie funny still comedown well letdown "                                                                                                                                                              
