 [1] " world land just big "                                                                                                    
 [2] "starring tim roth pruitt taylor vince bill nunn clarence williams iii "                                                   
 [3] "rated r "                                                                                                                 
 [4] " legend s years absurd movie rambling nonsensical piece seafaring garbage goes nowhere fast "                             
 [5] " stars thespian extraordinaire tim roth looking wistful ever guy named "                                                  
 [6] " "                                                                                                                        
 [7] " heard right "                                                                                                            
 [8] " name actuality "                                                                                                         
 [9] " born ocean liner uh hence name abandoned adopted danny ship crewman "                                                    
[10] " spends early years hiding bowels ship dannys fear might taken away visa matters "                                        
[11] "well starts wondering around ship "                                                                                       
[12] "one day discovers grand piano "                                                                                           
[13] " sits starts playing "                                                                                                    
[14] "miraculously comes beautiful "                                                                                            
[15] " group onlookers gathers watch stunning prodigy make amazing music young age "                                            
[16] " one people knows tells playing piano like without permission totally regulations replies f ck regulations "              
[17] "ho ho ho "                                                                                                                
[18] " grows never setting foot dry land "                                                                                      
[19] " hes ish can play piano like nobodys business onboard comes another musician "                                            
[20] " name max pruitt taylor vince plays trumpet "                                                                             
[21] " catches max barfing everywhere storm sits piano next takes pianos braces plays piano flies around hall taking "          
[22] " chair theyre sitting piano dont separate dont know apparently isnt kind thing supposed ask "                             
[23] " max become friends "                                                                                                     
[24] "max determined get ship discover missing land intention "                                                                 
[25] "whats doesnt even want music go anywhere without record company hears talents come board make record music finding gasp " 
[26] " theyre going make millions copies breaks record "                                                                        
[27] " conflict movie max unsuccessful endeavor get ship gets stumbles upon record s music store "                              
[28] " record shouldnt exist never stepped dry land b one record made ship broken "                                             
[29] "ladies gentlemen mystery "                                                                                                
[30] " story ludicrous uninteresting elements "                                                                                 
[31] " supposed roused climactic "                                                                                              
[32] "piano duel "                                                                                                              
[33] " isnt anything movie potential compel "                                                                                   
[34] " comes whiny brooding extremely unlikable man cant recall single word said sort depressing pseudo meditation life "       
[35] "ditto max doesnt seem life outside friendship "                                                                           
[36] "tim roth plays much panache fig leaf theres spirit gusto character "                                                      
[37] " insists leads happy life ship us dead "                                                                                  
[38] "pruitt taylor vince little palatable least providing moment comic relief liven things bit "                               
[39] " highlight movie eminently amusing clarence williams iii arrogant leering king jazz challenges aforementioned piano duel "
[40] " legend made giuseppe tornatore whose cinema paradiso considered masterpiece many "                                       
[41] " effort utterly limp lifeless "                                                                                           
[42] " ridiculous boring narrowsighted pointless one movie will quickly forgotten "                                             
