 [1] " know something christmas presents "                                                                                                                                                  
 [2] " overhyped holiday films lots merchandising product tieins "                                                                                                                          
 [3] " least seem message grinch advertised since last christmas whose logo currently plastered stores "                                                                                    
 [4] "hollywood expects us ignore cynical greed movie scolds us losing true spirit season "                                                                                                 
 [5] " know plot theres evil furry green guy called grinch jim carrey lives mountain overlooking whoville "                                                                                 
 [6] " whos preparing whobilation grinch determined steal christmas "                                                                                                                       
 [7] " movie course liveaction version beloved childrens book previously adapted tv special looney tunes animator chuck jones "                                                             
 [8] " rare big budget hollywood release shamed thirtyyearold halfhour cartoon thats case jones version compared ron howards "                                                              
 [9] " tv grinch hit right notes boris karloffs soft deep narration thurl ravenscroft singing mr grinch max dog weighed gigantic antler tied head grinchs wide toothless grin "             
[10] " contrast movie hits one sour note another "                                                                                                                                          
[11] "first numerous bad choices jeffrey price peter seaman made padding short book minute movie "                                                                                          
[12] "young wideeyed cindy lou taylor momsen depressed misplaced priorities parents bill irwin molly shannon holiday season "                                                               
[13] " begins sympathize grinch turns surprisingly sympathetic "                                                                                                                            
[14] "cindy lou discovers grinch turned tearfully away whoville grammar school publicly humiliated expressing love prettiest girl class martha may whovier played adult christine baranski "
[15] " expected like grinch hate whos want steal christmas "                                                                                                                                
[16] " grinch isnt even villain role filled corrupt mayor whoville jeffrey tambor grinchs rival marthas affection "                                                                         
[17] " characters needlessly complex oncesimple plot becomes convoluted actual theft christmas seems like afterthought "                                                                    
[18] " casting choices arent better screenwriting decisions "                                                                                                                               
[19] "jim carrey seems woefully miscast "                                                                                                                                                   
[20] " face supple rubber makeup seems superfluous carrey brings nothing else role "                                                                                                        
[21] " accent keeps changing assume shooting karloff ends sounding like weird slurry richard nixon sean connery cartman south park "                                                        
[22] " knowing else many scenes alone grinchs home carrey falls back standup comedy clowns around ace venturastyle "                                                                        
[23] "needless say wisecracking antics dont quite fit character grinch embittered loner filled hate "                                                                                       
[24] "little taylor momsen brings little role cindy lou except big eyes cute smile "                                                                                                        
[25] " fine cindy lou limited original purpose seuss story finding santa living room stealing tree "                                                                                        
[26] "however expanded script makes cindy important grinch momsen challenge "                                                                                                               
[27] "bottom line youre stealing christmas movies leave one behind "                                                                                                                        
