 [1] " snake eyes dog youd put sleep "                                                                                                                                                                                                                                   
 [2] " couch youd put sidewalk sit week "                                                                                                                                                                                                                                
 [3] " child youd reading military school catalogs "                                                                                                                                                                                                                     
 [4] " ship wouldnt titanic imply glamor tragedy exxon valdez "                                                                                                                                                                                                          
 [5] " personal side note saw movie road houston business trip "                                                                                                                                                                                                         
 [6] " whatever reason hotels cable system wasnt showing astrosbraves game featured randy johnsongreg maddux matchup "                                                                                                                                                   
 [7] " forced pay full price snake eyes instead watching perfectly good baseball game free invective deserved seen perspective "                                                                                                                                         
 [8] "snake eyes supposed mystery movie good mystery movies supposed leave asking questions way theater "                                                                                                                                                                
 [9] "snake eyes good mystery movie questions wheres manager get readmit pass "                                                                                                                                                                                          
[10] " fall asleep drive home wreck rentacar can sue brian de palma "                                                                                                                                                                                                    
[11] " late academy revoke nicolas cages oscar "                                                                                                                                                                                                                         
[12] "will someone please im begging give gary sinise role worthy talents "                                                                                                                                                                                              
[13] " exactly cage end wearing exact shirt tie sinise "                                                                                                                                                                                                                 
[14] " first glaringly wrong thing snake eyes trailer "                                                                                                                                                                                                                  
[15] " youve seen trailer without seeing movie consider fortunate "                                                                                                                                                                                                      
[16] " trailer work sheer genius "                                                                                                                                                                                                                                       
[17] " manages convey everything worthy movie noteworthy steadicam work exuberance cages performance thoroughly corrupt atlantic city policeman essential elements marginal plot "                                                                                       
[18] " expert craftsman pieced together fairly good trailer snippets wretched movie deserves praise percentage gross "                                                                                                                                                   
[19] " best trailer category oscars farfetched "                                                                                                                                                                                                                         
[20] " set us overwhelmingly disappointing movie "                                                                                                                                                                                                                       
[21] " trailer sets promising plot detective ricky santoro cage must solve mystery shot secretary defense atlantic city payperview boxing match "                                                                                                                        
[22] "unfortunately multiple problems afoot "                                                                                                                                                                                                                            
[23] " trailer gives away much much story "                                                                                                                                                                                                                              
[24] " shooter killed instantly story revolves around secretary killed involved conspiracy "                                                                                                                                                                             
[25] " films secret hohum best anyone watched trailer aware law economy characters can figure top conspirator "                                                                                                                                                          
[26] "without interesting plot without interesting dialogue without much reason care characters story snake eyes failure almost every possible level "                                                                                                                   
[27] " much hated movie must give brian de palma one tiny bit credit "                                                                                                                                                                                                   
[28] "de palma maddeningly inconsistent "                                                                                                                                                                                                                                
[29] " can day create amazingly welldone movies untouchables carlitos way "                                                                                                                                                                                              
[30] " offdays can well just horrid bonfire vanities raising cain "                                                                                                                                                                                                      
[31] "snake eyes falls horrid category couple moments worth seeing strictly filmschool degreeofdifficulty value "                                                                                                                                                        
[32] " steadicam opening scene good job introducing cage character virtuoso technical job director actor "                                                                                                                                                               
[33] " splitscreen chase scene looks pretty good followed gods eye view bank hotel rooms thats imaginitively done "                                                                                                                                                      
[34] " whats called giving devil due "                                                                                                                                                                                                                                   
[35] " technical skill doesnt even come close making sheer evil movie "                                                                                                                                                                                                  
[36] "placing plot holes one side moment snake eyes features easily worst boxing match cinema history george foreman better shape movie boxers hurricane exists reason punctuate significant plotlines portentuous thunderclaps perhaps worst overly drawn ending years "
[37] "snake eyes criminal act evil waste time talent "                                                                                                                                                                                                                   
[38] "cage sinise yes even de palma deserve better "                                                                                                                                                                                                                     
[39] " audience deserves better refund readmit pass free popcorn coupon can ever restore us time weve spent wash awful images mind "                                                                                                                                     
[40] "however left one consolation warned movies title snake eyes nothing roll craps "                                                                                                                                                                                   
