 [1] "well stellar effects movie "                                                                                                                                                                                                     
 [2] " thats really "                                                                                                                                                                                                                  
 [3] " found watching movie many many gaps flaws simple logic plot "                                                                                                                                                                   
 [4] " one thing white leading actor black daughter leave curiosity "                                                                                                                                                                  
 [5] " saying isnt possible "                                                                                                                                                                                                          
 [6] " leave one wonder "                                                                                                                                                                                                              
 [7] "know "                                                                                                                                                                                                                           
 [8] "another thing movie sections painfully stretched "                                                                                                                                                                               
 [9] " certain scenes repeated essentially slight variations "                                                                                                                                                                         
[10] " one scene short "                                                                                                                                                                                                               
[11] " horribly stretched somewhere middle found thinking "                                                                                                                                                                            
[12] "ok enough already get "                                                                                                                                                                                                          
[13] " also times wonder things happen way "                                                                                                                                                                                           
[14] "things just magically happen prelude anything sort "                                                                                                                                                                             
[15] "another thing noticed towards end characters just vanished without trace fairly major beginning "                                                                                                                                
[16] " movie also predictable "                                                                                                                                                                                                        
[17] " can almost tell final story somewhere middle definitely know will happen given moment "                                                                                                                                         
[18] "granted hard omit just blatant sits stares "                                                                                                                                                                                     
[19] "also things happen little predictable several cliques repeated "                                                                                                                                                                 
[20] " gets boring times tell truth "                                                                                                                                                                                                  
[21] "even though still action going "                                                                                                                                                                                                 
[22] "another little point might add main character supposed quiet chaos mathematician shoot type hero "                                                                                                                               
[23] " characters proper roles "                                                                                                                                                                                                       
[24] " acting fine characters just dont seem add "                                                                                                                                                                                     
[25] " base review totally plot wouldnt rate movie highly thats just thing movie isnt just plot whole package package really well done "                                                                                               
[26] " whole movie really well done looks really good one overlook flaws plot characters really movie "                                                                                                                                
[27] " special effects just amazing cant tell dinosaurs created looks like live instances course know fake times just wouldnt able say creature wasnt filming extinct "                                                                
[28] "another thing destruction scenes "                                                                                                                                                                                               
[29] "wow masterpieces "                                                                                                                                                                                                               
[30] "well well choreographed along dinos make one reasons see movie "                                                                                                                                                                 
[31] " movie fairly long action packed well box office "                                                                                                                                                                               
[32] "unfortunately will take away fifth element alas can "                                                                                                                                                                            
[33] " may cynical age movie worth seeing effects funny moments "                                                                                                                                                                      
[34] "go see matinee really must see worth full price ask "                                                                                                                                                                            
[35] "one little side note although opinion movie may best way movie marketed many theaters shown toronto opening weekend nothing short stupid theater movie theaters playing movie around clock think people really want money badly "
[36] " think type activity hurts movie industry let movies also chance "                                                                                                                                                               
[37] " know movie much play succeed even worst movie ever made "                                                                                                                                                                       
[38] " thought id put deflate movie hype flick "                                                                                                                                                                                       
[39] " bad movie great either hope people realize "                                                                                                                                                                                    
