 [1] " caliber killer struck "                                                                                                                                                                                                                                               
 [2] "starring john leguizamo mira sorvino adrian brody jennifer esposito michael rispoli bebe neuwirth "                                                                                                                                                                    
 [3] "rated r "                                                                                                                                                                                                                                                              
 [4] "summer sam will remembered waste spike lees abilities "                                                                                                                                                                                                                
 [5] "lee great filmmaker often exhibiting kinetic visual flair par brian depalma martin scorsese storytelling ability comparable steven spielberg "                                                                                                                         
 [6] " gets bind "                                                                                                                                                                                                                                                           
 [7] " latest effort case director pretending something say reality little substance absorb work "                                                                                                                                                                           
 [8] " summer unusual summer new york city "                                                                                                                                                                                                                                 
 [9] " hottest summer record "                                                                                                                                                                                                                                               
[10] " boot new yorks first serial killer loose calling son sam david berkowitz killed people new york area frightened whole city population "                                                                                                                               
[11] " understandable nyc hit citywide blackout people went berserk causing billions dollars damage city "                                                                                                                                                                   
[12] " movies focus group twentysomethings fateful summer vinny john leguizamo clubhopping adultrous hairdresser benevolent wife dionna mira sorvino looking young ritchie adrian brody punk becomes outcast well son sam suspect gang small time mobsters minor characters "
[13] " follow roller coaster lives thrown whack even recent killings "                                                                                                                                                                                                       
[14] "vinny dionna marital problems vinny cheats dionna tries please make stay faithful "                                                                                                                                                                                    
[15] "ritchie gets shunned group friends started become eccentric degenerated point dancing gay night clubs making porno films girlfriend "                                                                                                                                  
[16] "tensions build conflicts arise anniversary night son sams first murder looms night promises will strike "                                                                                                                                                              
[17] " local gang much time hands makes list detailing people members think might suspects "                                                                                                                                                                                 
[18] " top list ritchie "                                                                                                                                                                                                                                                    
[19] "vinny unwilling part said group called upon set trap friend "                                                                                                                                                                                                          
[20] " watch proceedings painfully graphic dreaded "                                                                                                                                                                                                                         
[21] "question springs mind "                                                                                                                                                                                                                                                
[22] " way movie made id guessed spike lee trying tell us something searched deeper became clear little find "                                                                                                                                                               
[23] "lee touches much media s punk scene details actual killings well characters personal dilemmas doesnt bring topics together form coherent theme make discernible statement "                                                                                            
[24] " lost movie turns hollow can saving grace film enjoyable "                                                                                                                                                                                                             
[25] " bad summer sam doesnt get help "                                                                                                                                                                                                                                      
[26] "frankly bore redundant repetitive two hour twenty minute film doesnt entertain beyond first half hour "                                                                                                                                                                
[27] " suspense film refuses fully murders little involving drama film muddled focus vague "                                                                                                                                                                                 
[28] "leguizamos turn vinnie annoying whiny "                                                                                                                                                                                                                                
[29] " script makes clear supposed believe character flawed still good guy "                                                                                                                                                                                                 
[30] "youd never guess performance "                                                                                                                                                                                                                                         
[31] "adrian brody especially mira sorvino fare better "                                                                                                                                                                                                                     
[32] "sorvino gives riveting touching performance banal movie im tempted think liked nearly everything else around inane character affecting emotions truetoheart "                                                                                                          
[33] "brody paints effective portrait young guy desperate attention gets little bargained "                                                                                                                                                                                  
[34] "summer sam superficial elements good film looks great notable performances suppose pretty well directed purely technical way "                                                                                                                                         
[35] " also empty pretentious boring "                                                                                                                                                                                                                                       
[36] "like last years thin red line movie director doesnt know wants say goes ahead says anyway "                                                                                                                                                                            
[37] " eugene novikov "                                                                                                                                                                                                                                                      
