 [1] " warning following review contains spoilers "                                                                                                                                                                              
 [2] "cast gary sinise don cheadle connie nielsen jerry oconnell kim delaney tim robbins elise neal jill teed jody thompson bill timoney written jim thomas john thomas graham yost directed brian depalma running time minutes "
 [3] " first big event movie turns anything "                                                                                                                                                                                    
 [4] "gary sinise stars astronaut removed mars mission astronaut wife maggie kim delaney becomes ill passes away "                                                                                                               
 [5] "don cheadle given mission along russian couple young hotshot "                                                                                                                                                             
 [6] " strange whirlwind shot top mars mountain range attacks crew mission sinise robbins convince superior let neilsen oconnell perform rescue mission whatever crew might remaining "                                          
 [7] " discover surface planet will dramatically change lives forever although one watching film will come away profoundly affected "                                                                                            
 [8] " ever saw film aware promotional campaign dr pepper "                                                                                                                                                                      
 [9] "every time see bottle soft drink mission mars logo emblazoned upon "                                                                                                                                                       
[10] "little know plot taking back seat product placement drink several products "                                                                                                                                               
[11] "dr pepper saves day one point dream sequenceflashback features jerry oconnell shoving mms face "                                                                                                                           
[12] " couple ridiculous examples product placement scattered throughout film "                                                                                                                                                  
[13] "clich s also order day mission mars "                                                                                                                                                                                      
[14] "dialogue character motivations lifted directly countless science fiction films done better style even independence day lifted premises scifi films better film dont like independence day "                                
[15] "films like space odyssey abyss close encounters third kind blatantly stolen poorly "                                                                                                                                       
[16] " even sequence rover traveling canyon couldnt help whisper utinni wait jawa quickly hide rocks rover get glimpse "                                                                                                         
[17] " film also features one alltime least favorite movie clich s wanted moment one character gives another trinket yet another character established constantly usually made fun character ends getting sappy later "          
[18] "scenes like always bother come nowhere regular films film clich ridden particularly irritating "                                                                                                                           
[19] "ennio morricones music usually considered best stuff projects works dreadfully overbearing "                                                                                                                               
[20] " music sounds like came straight vincent price movie certain scenes "                                                                                                                                                      
[21] " times music unbearably overdramatic "                                                                                                                                                                                     
[22] "one sequence involving daring spacewalk rescue given particularly cheesy sting discovered grappling hook device used rescue wont reach intended target "                                                                   
[23] "mission mars push button filmmaking greatest extreme "                                                                                                                                                                     
[24] "events set motion obvious anyone ever seen movie seem like just evoke emotional response audience "                                                                                                                        
[25] " apparently supposed upset tim robbins character removes helmet deep space kills save wife felt extreme boredom coupled twinge disinterest "                                                                               
[26] " makes worse fact real reason robbins character needs turn popsicle except invoke emotional response think least one way save nasa clowns film supposed smarter "                                                          
[27] " finale finally introduced translucent conehead kittyfaced aliens ostensibly sprung presented ridiculously cartoonish cgi ever put film just slightly worse plane crash end air force one hell scenes spawn "              
[28] " brief history lesson came proffered sinise whisked away rest people late wife proclaims video watches early chance step foot one else "                                                                                   
[29] " press ive seeing film receive apparent mission mars will dying quick death theater "                                                                                                                                      
[30] "im sure first weekend two will huge word gets people will stop going "                                                                                                                                                     
[31] "lets just hope upcoming red planet better isnt hurt negativity film generating "                                                                                                                                           
[32] "id venture say wont worse waste time "                                                                                                                                                                                     
[33] "pg "                                                                                                                                                                                                                       
