 [1] " grated disney film based meg cabots novel princess diaries anything cute harmless fun "                                                                                                                                                                                                                                                                                                            
 [2] "easy "                                                                                                                                                                                                                                                                                                                                                                                              
 [3] "take cute harmless fun "                                                                                                                                                                                                                                                                                                                                                                            
 [4] " youre make borrrring "                                                                                                                                                                                                                                                                                                                                                                             
 [5] "thats director garry marshall screenwriter gina wendkos outdone producer whitney houston done grated disney film princess diaries "                                                                                                                                                                                                                                                                 
 [6] " couldnt tell audience though braintree mass growing glowing prepubescent girls odd parental popcorn perched persons positively cheered end credits rolled ah film struck lovely nerve fuddyduddy old "                                                                                                                                                                                             
 [7] "well might cheered utter tripe now well truly obvious "                                                                                                                                                                                                                                                                                                                                             
 [8] " obvious least problems marshalls film garry made couple princess movies pretty woman runaway bride ones way without julia roberts maybe thats problem "                                                                                                                                                                                                                                            
 [9] " addition predictable molasses princess diaries hardly got laugh comedy bore pants abyssinian long long stretches sloppily edited principals refer scenes havent even seen yet probably never will except perhaps dvd edition "                                                                                                                                                                     
[10] "marshall take virtually blame since hes time know scene two isnt working "                                                                                                                                                                                                                                                                                                                          
[11] " hardly princess diaries works works alas implies cleverness theres none either "                                                                                                                                                                                                                                                                                                                   
[12] "newcomer anne hathaway stars mia thermopolis bright socially invisible san franciscan teen learns single mom wacky artist played likable caroline goodall bit fling royal member miniscule european country nobody ever heard filmmakers go way call serbia pretty much miniscule european countries called movies mark words now mia next line rule genovia hence headphonestiara combo print ads "
[13] "julie andrews luminous factor cranked plays mias grandmother aka queen clarisse renaldi shows royal blue lends mia much advice direction eating talking looking like princess department although mias big makeover simply transforms ugly duckling ugly swan "                                                                                                                                     
[14] " queen julie lose dignity sake good laugh "                                                                                                                                                                                                                                                                                                                                                         
[15] " really "                                                                                                                                                                                                                                                                                                                                                                                           
[16] "consuming corn dog worst gets "                                                                                                                                                                                                                                                                                                                                                                     
[17] "also stereotypical hand brainless jock evil cheerleader dorkylooking best friend welcome dollhouse s heather matarazzo sensitive auto mechanicmusician marshall mainstay hector elizondo joe driver imparting wit wisdom front seat mias chauffeurdriven limousine every intersection "                                                                                                             
[18] " nonanimated grated movie rarity days rating reflects fact guts good stuff exorcised finished product "                                                                                                                                                                                                                                                                                             
[19] "lame labored lamentable princess diaries recommended eightandahalf year olds feminine persuasion others well avoid like potholes plague perfect storm "                                                                                                                                                                                                                                             
