 [1] " last carry film almost intact regular cast swansong hattie jacques sid james "                                                                                                                
 [2] "dick turpin sid james gang includes harriettharry barbara windsor tom doc scholl peter butterworth terrorise countryside staging highway robberies stand deliver "                             
 [3] "owing increased occurrence turpins robberies captain desmond fancey bow street runners kenneth williams sidekick sergeant jock strapp jack douglas visit turpins area influence bring justice "
 [4] " express orders sir roger daley bernard bresslaw "                                                                                                                                             
 [5] " intellect count much increasingly become suspicious reverend flasher aka dick turpin sid james confided earlier still believe rector part robberies "                                         
 [6] "however catch harriett put jail sir roger daley takes complete charge seems hope dick turpin "                                                                                                 
 [7] " sir roger assigned dimwits fancey jock strapp aswell old dithering constable kenneth connor keep eye prisoner "                                                                               
 [8] " doubt sid james carry movie "                                                                                                                                                                 
 [9] " excels double roles carry dont lose head performance flasher turpin hilarious "                                                                                                               
[10] "barbara windsor also funny harriett sex mad housemaid member gang hattie jacques small effective role rectors housekeeper martha hoggett played perfection "                                   
[11] "jack douglas plays milder version excruciatingly annoying onscreen persona kenneth williams given rather mundane part "                                                                        
[12] "peter butterworth allowed shine boring performance tom bernard bresslaws character appears briefly film "                                                                                      
[13] " notable performance support cast comes joan sims madame desiree travelling around country escorting starlets birds paradise sporting fake french accent "                                     
[14] " girls robbed turpin determined catch helps reverend find culprit "                                                                                                                            
[15] " carry numbers movie notable great performance sid james last carry movie "                                                                                                                    
[16] " jokes bluer script poorer last script written talbot rothwell music marked improvement "                                                                                                      
[17] "although nearly regulars appear seem just going motions "                                                                                                                                      
[18] "none high spirits earlier films apparent "                                                                                                                                                     
[19] "just selection crude jokes repititive doubleentendres "                                                                                                                                        
