 [1] " scene early jakob liar hints much better "                                                                                                                                                       
 [2] " scene set jewish ghetto poland circa onetime cafe proprietor named jakob heym walking resolutely streets fists stuffed coat pockets "                                                            
 [3] " one side residents scavenge food street side german troops beat group jews "                                                                                                                     
 [4] "jakob however never stops moving "                                                                                                                                                                
 [5] " efficient effective setup character clearly nobodys idea hero outset "                                                                                                                           
 [6] " man responded horror surroundings withdrawing excising moral peripheral vision "                                                                                                                 
 [7] " setup critical fate will turn jakob reluctant savior "                                                                                                                                           
 [8] " visit german commandants office moment alone turnedon radio jakob learns russian troops quite near "                                                                                             
 [9] " brings first news war years fellow jews become convinced must radio punishable offense ghetto "                                                                                                  
[10] " good news brings hope ghetto everyday specter suicide vanishes "                                                                                                                                 
[11] " private man limited creativity finds burdened creating stories russian military progress just keep neighbors alive "                                                                             
[12] " promising story ordinary person extraordinary burdened outset casting ordinary person question jakob heym played robin williams "                                                                
[13] " depressing opinion williams growing less assured actor serious roles every passing year "                                                                                                        
[14] "compare dramatic scenes world according garp moscow hudson dreams may come patch adams see much mannered become least much less sensible choosing material "                                      
[15] "jakob liar depends notion jakob struggle craft fictions williams always looks like hes struggling craft "                                                                                         
[16] " improvises radio address winston churchill ailing yearold orphan lina hannah taylor gordon seems relieved can finally get wacky "                                                                
[17] "oh yes theres little girl "                                                                                                                                                                       
[18] " viewers will undoubtedly consider heros fanciful stories young charge reminiscent life beautiful scenes arent problematic theyre familiar "                                                      
[19] "theyre problematic theyre jarring distracting introducing cutesy relationship film shouldnt cutesy relationships "                                                                                
[20] "jakobs character arc may willingness act benefit others plenty others without poor little lina "                                                                                                  
[21] "every scene feels contrived pulling jakob liar away central story hope coming previously hopeless people "                                                                                        
[22] " pleasant surprise find jakob liar much grittier production might expect hollywoodized holocaust combining weighty subject matter dark humor effective ways "                                     
[23] "director peter kassovitz working jurek beckers novel crafts nice scenes jakob townspeople draws solid performances armin muellerstahl oncerevered doctor bob balaban barber drifting depression " 
[24] " just many things going prove distracting whether sketchy romanctic angle involving liev schreiber earnest former prizefighter williams incongrous presence sweet utterly irrelevant little girl "
[25] "jakob liar deals delicate subject fumbling compelling central character waste "                                                                                                                   
[26] " one wonderful early scene can see film wasted fumbled away "                                                                                                                                     
