 [1] " heard old guys crowded bathroom following odd couple ii sneak preview "                                                                                                               
 [2] " happy group men ive ever encountered "                                                                                                                                                
 [3] " great movie exclaimed one gent urinal everything true "                                                                                                                               
 [4] " yeah laughed man standing next drive slow one guy "                                                                                                                                   
 [5] " kids give holy hell "                                                                                                                                                                 
 [6] " peeing big part day just like felix chuckled another fellow fastened trousers around nipples prepared rejoin wife "                                                                   
 [7] " youre habit driving least miles per hour posted speed limit neil simons odd couple ii may just film "                                                                                 
 [8] "others will likely less charitable "                                                                                                                                                   
 [9] " odd couple ii amiable enough neil simons shockingly lazy screenplay feels like slappedtogether tv reunion show suffering wheezing situation comedy setups jokes straight borschtbelt "
[10] "simon toast broadway apparently shifted sights great white way neighborhood multiplex branson missouri "                                                                               
[11] " contrived story involving marriage kids provides excuse reunion oscar madison felix unger havent seen years "                                                                         
[12] " former roommates fly california respective homes wedding quite literally run one another airport "                                                                                    
[13] " take rental car ceremony san molina get lost series wacky adventures road "                                                                                                           
[14] "jack lemmon walter matthau reprise roles felix neat freak oscar slob "                                                                                                                 
[15] " undeniable chemistry pair impact reunion lessened fact theyve headlined three films together since grumpy old men grumpier old men sea "                                              
[16] "still two veteran actors fun watch "                                                                                                                                                   
[17] "matthau whose magnificently rumpled face looks like big pile laundry eyes field day oscar crown prince curmudgeons "                                                                   
[18] "lemmon looking pastier usual fine ever annoying felix still punctuates chronic whining occasional allergic honks phnah "                                                               
[19] "phnah "                                                                                                                                                                                
[20] "despite bickering characters real affection providing welcome respite nonstop barrage insults marked previous three films together "                                                   
[21] "unfortunately matthau lemmons charm isnt enough compensate simons hack script wouldnt pass muster even upn sitcom "                                                                    
[22] "one contrived situation follows another lathered enough stale one liners supply dozen wouldbe comics openmike night local comedy club "                                                
[23] " someone drags film find bored try entertaining counting product placements "                                                                                                          
[24] "burger king gets one el pollo loco taco joint budget renta car really hits jackpot "                                                                                                   
[25] " script references business shots signs stickers bearing company name couldnt keep count plugs "                                                                                       
[26] " however keep track swearing "                                                                                                                                                         
[27] " came four goddamns three shitheads two fucks "                                                                                                                                        
[28] " inclusion particular profanities seemed odd film aimed older audience theater full seniors appeared problem howling like crazy every time boys let rip naughty word "                 
[29] " sad writer neil simons stature grown desperate enough resort swearing cheap laughs surprising look else gets passed humor tepid exercise "                                            
[30] "one running gag involves oscar felixs inability remember name town wedding held "                                                                                                      
[31] " one point men actually spend seconds just freeassociating riffing variants word san "                                                                                                 
[32] " sequence creatively bankrupt simply embarrassing "                                                                                                                                    
[33] "one oldest maxims filmgoing beware movies use authors name title "                                                                                                                     
[34] " neil simons odd couple ii exception rule "                                                                                                                                            
[35] " production enough minor pleasures warrant tv viewing lazy sunday afternoon business playing movie theater "                                                                           
[36] " course theres bathroom full old guys strongly disagree every word ive written probably whip youngwhippersnapper ass boot "                                                            
[37] "one things sure though "                                                                                                                                                               
[38] "theyll never catch car chase "                                                                                                                                                         
