 [1] "theres scene early jawbreaker character utters unintentionally prophetic line funny "                                                                                                                      
 [2] " right "                                                                                                                                                                                                   
 [3] " pathetic tale three highschoolers accidentally kill best friend birthday kidnapping prank gone horribly awry never even remotely funny "                                                                  
 [4] " fun "                                                                                                                                                                                                     
 [5] " original "                                                                                                                                                                                                
 [6] " content tooobvious heathers heisting filmmakers proceed lift freely staggering variety sources including carrie bride frankenstein blue velvet even shaws pygmalion recently remade shes "                
 [7] " jawbreaker pastiche even enjoyable one "                                                                                                                                                                  
 [8] " find extremely telling engaging part film credit sequence jawbreaker factory montage inexplicably backed veruca salts volcano girls serving blueprint rest film song absolutely nothing footage watching "
 [9] "just close eyes pretend youre listening altrock station wont missing anything "                                                                                                                            
[10] " blame mess big spread around among principals "                                                                                                                                                           
[11] "rebecca gayheart following roles scream urban legend known better take yet another role yet another teen body count movie "                                                                                
[12] "pam grier totally wasted credibility might gotten role quentin tarantinos jackie brown "                                                                                                                   
[13] " rose mcgowan just quit acting "                                                                                                                                                                           
[14] " charisma presence acting skills rolling eyes looking disaffected "                                                                                                                                        
[15] "mcgowan manages upstaged reallife boyfriend rocker marilyn manson whose fifteen second role far interesting anything real actors "                                                                         
[16] "manson sans trademark makeup contact lenses obviously fake moustache looks eerily like nicholas cage woulda thunk "                                                                                        
[17] " crack direction committee wasnt merely pithy soundbite "                                                                                                                                                  
[18] "stylistically thematically narratively jawbreaker map varying wildly tone content scene scene "                                                                                                            
[19] "though credited solely writerdirector darren stein one gets feeling two scenes actually guided hands "                                                                                                     
[20] " stein indeed responsible whole atrocity someone needs get man drugs pronto "                                                                                                                              
[21] "prozac lithium kava ritalin something anything "                                                                                                                                                           
[22] "hes quite obviously desperate need chemical help "                                                                                                                                                         
[23] " jawbreaker monumental waste effort resources quite likely one single worst films ive ever seen "                                                                                                          
[24] " call jawbreaker garbage insult garbage "                                                                                                                                                                  
[25] "bad flicks rest year safe ive already got pick worst film "                                                                                                                                                
[26] " jawbreaker runs approximately minutes though feels longer titanic rated r language sexual situations graphic violence "                                                                                   
[27] " recommended kids teens anyone else "                                                                                                                                                                      
