 [1] "nicolas cage comes ingenious survival mechanism role winkandaconcussivenudge bombastorama con air "                                                                                                                                                                                                                      
 [2] " opening credits sequence introduces us cage cameron poe gulf war veteran convicted manslaughter serving eight years prison illfated barroom brawl "                                                                                                                                                                     
 [3] " prison scenes accompanied voiceovers poe languid southern drawl describes prison life wife back home offers simple homilies daughter never met "                                                                                                                                                                        
 [4] " scene gives tickle familiarity probably "                                                                                                                                                                                                                                                                               
 [5] "cage appears realize con air going utterly dimwitted ridiculous hes going something keep entertained "                                                                                                                                                                                                                   
 [6] " thus slips familiar surreal role commentary proceedings cage plays cameron poe buffedup version raising arizonas h mcdonnough "                                                                                                                                                                                         
 [7] "cage known getting "                                                                                                                                                                                                                                                                                                     
 [8] " got paycheck jerry bruckheimer last year rock theres one thing can count bruckheimer production even without late partner don simpson can count seeing everything saw last bruckheimer production "                                                                                                                     
 [9] " critical difference rock con air cages performance "                                                                                                                                                                                                                                                                    
[10] " rock cage appeared time life jumping action fray first time "                                                                                                                                                                                                                                                           
[11] " sense discovery replaced wry selfawareness "                                                                                                                                                                                                                                                                            
[12] " plot con air finds poe parolee board hijacked prison transport plane whose goal just get home cages goal different just simple get film measure dignity intact "                                                                                                                                                        
[13] "audiences know theyre getting bruckheimer production "                                                                                                                                                                                                                                                                   
[14] " fact marketing people counting "                                                                                                                                                                                                                                                                                        
[15] " one loathed rock sweargruntblast repetitiveness will converted con air one loved rock exactly reasons will dissuaded "                                                                                                                                                                                                  
[16] "director simon west yet another tv commercial auteur plucked bruckheimer advertising equivalent schwabs soda fountain delivers exactly kind adrenalinetestosterone cocktail launch endocrinology lecture perversely appropriate one sympathetic con spends flight nearing diabetic coma like insulin con air work gland "
[17] " doesnt deliver moment suspense "                                                                                                                                                                                                                                                                                        
[18] " bruckheimer film use hitchcocks notion showing bomb desk creates interesting scene just blowing desk really really big desk really really big bomb will serve purpose nicely "                                                                                                                                          
[19] " either west bruckheimer interested genuine tension might done something con airs creepiest setup "                                                                                                                                                                                                                      
[20] " desert stop planeload convicts serial killer garland greene steve buscemi wanders trailer park meets little girl tea party drained swimming pool "                                                                                                                                                                      
[21] " teteatete eerie menacing providing welcome shift tone giving buscemi chance stand cast many villains danny trejo ving rhames characteristically reptilian john malkovich among "                                                                                                                                        
[22] " fact con air usually opts much something tiniest measure restraint improvement many characters much editing many dopey punch lines much cheap ugly appeals machismo characterize many bruckheimer efforts "                                                                                                             
[23] " kind exhausting excess cage responding detached performance "                                                                                                                                                                                                                                                           
[24] " malkovich goes outrageous john cusack u s marshal goes earnest cage looks like just wants go sleep "                                                                                                                                                                                                                    
[25] " recycled raising arizona performance means escape chase stuffed bunny continuation pursuit big box huggies "                                                                                                                                                                                                            
[26] " doesnt bode well cages appearance faceoff later month perhaps already realizes can action films "                                                                                                                                                                                                                       
[27] "theres word people like nicolas "                                                                                                                                                                                                                                                                                        
[28] " word called recidivist repeat "                                                                                                                                                                                                                                                                                         
[29] "offender "                                                                                                                                                                                                                                                                                                               
