 [1] " desperate measures generic title film thats beyond generic "                                                                                                                                                                                                          
 [2] " also depressing waste talent solid team michael keaton andy garcia unthankfully thrown thankless lead roles mention oncecool director barbet schroeder sadly continuing string notcool flicks thriller reversal fortune "                                             
 [3] " movie big disappointment yet somewhat easy see motivated big names attach premise promising intriguing "                                                                                                                                                              
 [4] " bad executions wrong though setup desperate measures boasts rather enticing elements deserve put far better use "                                                                                                                                                     
 [5] "san francisco cop frank connor garcia single parent troubling dilemma son matt joseph cross stricken cancer bone marrow transplant can push remission "                                                                                                                
 [6] "even worse compatible donor violent sociopath peter mccabe michael keaton currently serving life sentence multiple murders various crimes society "                                                                                                                    
 [7] "connor tries best convince mccabe go along surgery hes first reluctant reconsiders realizes can plan escape hospital "                                                                                                                                                 
 [8] " make run connor offers close pursuit different reasons superiors including crusty brian cox want take mccabe connor needs keep alive hope lost little boy "                                                                                                           
 [9] "one misstep desperate measures makes underdevelopment matts illness "                                                                                                                                                                                                  
[10] "whats needed details exactly mccabe bone marrow match works seem possible contenders somewhere country thus many ways connor endangers lives around attempting keep mccabe alive just little hard swallow "                                                            
[11] "take example scene mccabe trying make getaway climbing elevated passage tunnel connecting two sections hospital "                                                                                                                                                      
[12] " police spotlight guns aimed right connor "                                                                                                                                                                                                                            
[13] " shoots spotlight mccabe can continue flight "                                                                                                                                                                                                                         
[14] "connor knows well dangerous deeds guy capable yet never seems think mccabe will eventually get try harm son "                                                                                                                                                          
[15] "whatever "                                                                                                                                                                                                                                                             
[16] " fair though lack story background least movies problems "                                                                                                                                                                                                             
[17] "first foremost cheaply desperate measures trades potential opening scenes routine action ballistics final hour "                                                                                                                                                       
[18] " mccabe escapes film becomes fugitive reverse thrills "                                                                                                                                                                                                                
[19] " countless scenes good guys catch keaton grab hostage get away "                                                                                                                                                                                                       
[20] "also movie intent giving hootinducing lipsmacking villain ads compared peter mccabe hannibal lechter natch completely casts garcias frank connor dullsville wayside desperate measures appears like antagonist much protagonist movies headscratcher sendoff confirms "
[21] " good found amongst mess particularly acting department "                                                                                                                                                                                                              
[22] "cast type michael keatons understated menace highly effective "                                                                                                                                                                                                        
[23] "although hes given much believable work andy garcia plays taut emotional chord "                                                                                                                                                                                       
[24] "joseph cross garicias ailing son surprisingly unsentimental marcia gay harden lends solid support doctor becomes major player unfolding chaos "                                                                                                                        
[25] " cast best camouflage sorry plot chugs towards inevitably happy ending lost "                                                                                                                                                                                          
[26] " goes without saying desperate measures needs operation "                                                                                                                                                                                                              
