 [1] " alcohol drugs bad "                                                                                                                                                    
 [2] " alcohol drugs good "                                                                                                                                                   
 [3] "got "                                                                                                                                                                   
 [4] "just though youve seen enough brave young women dealing personal problems screen insanity alcoholism hollywood releases yet another one deep emotional stories finding "
 [5] " days practically visualization usual meaningful true stories people proudly retelling aameetings "                                                                     
 [6] "gwennie sandra bullock young woman drowned problems alcohol "                                                                                                           
 [7] " life big party beginning end "                                                                                                                                         
 [8] " behavior course estranged sister life "                                                                                                                                
 [9] " existence filled endless parties comic episodes "                                                                                                                      
[10] " got drunk boyfriend jasper dominic west borrowed sisters elizabeth perkins wedding limo crashed someones house "                                                       
[11] " time pay day stay courtordered rehab "                                                                                                                                 
[12] " must realize thing can save redemption willpower commitment "                                                                                                          
[13] " important must realize place direction life understand life just big party "                                                                                           
[14] " film feels like rehab program whining moaning things said written million times "                                                                                      
[15] " classic cautionary tale "                                                                                                                                              
[16] " echo "                                                                                                                                                                 
[17] " big fat expensive clich "                                                                                                                                              
[18] " shadow last years girl interrupted likewise followed footsteps great masterpieces like cuckoos nest trainspotting "                                                    
[19] "director betty thomas stuffed film many failures errors impossible sum one review "                                                                                     
[20] " paranoid reason decided make film dramacomedy "                                                                                                                        
[21] "jokes funny characters almost deliberately delude really important complex issues alienation despair terror confusion loneliness "                                      
[22] " awesome power strength character actually takes overcome become clean "                                                                                                
[23] "isnt filmmakers wanted show first place "                                                                                                                               
[24] "even transition process seems like walk park betty thomas idea hell cozy homey place happy alcoholics cheerful drug addicts allowed smoke drink watch tv "              
[25] " simply light simplified unnecessary sweet taken seriously "                                                                                                            
[26] " worst thing actually thinks saying something significance "                                                                                                            
[27] " actually tries educate audience extremely predictable primitive story "                                                                                                
[28] " need just say says dr cornell steve buscemi revelation century "                                                                                                       
[29] " thats simple "                                                                                                                                                         
[30] " fact rather watch lost space return days "                                                                                                                             
[31] " acting acceptable hardly anything else "                                                                                                                               
[32] " sandra bullock opportunity demonstrate capable speed "                                                                                                                 
[33] " handles part surprising professionalism ease certainly saves film complete flop "                                                                                      
[34] "dominic west shines source gwenies devilish temptations elizabeth perkins steve buscemis great talents wasted unnoticeable shallow characters "                         
[35] "although intellectually girl interrupted greater achievement days superior visual aspect "                                                                              
[36] " nice flash back sequences occasionally impressive pacing overall technical aspect film ground floor "                                                                  
[37] " important thing weve seen lot better "                                                                                                                                 
[38] "clean sober laugh man loves woman leaving las vegas many stronger films made issues "                                                                                   
[39] " whats point "                                                                                                                                                          
[40] " words days doesnt contribute moviemaking business level "                                                                                                              
[41] " youre caught snowstorm bolts lightning fall sky youre standing front movie theatre might well go watch days "                                                          
[42] " circumstances stay away film equals minutes lost "                                                                                                                     
