 [1] " happy bastards quick movie review "                                                                                                                 
 [2] "holy man "                                                                                                                                           
 [3] " like holy crap "                                                                                                                                    
 [4] " film stars eddie murphy mysticalish figure named g strange journey sort comes across two network execs jeff goldblum kelly preston flat tire hands "
 [5] "somehow ends car channel lineup infomercial programs featuring likes betty white morgan fairchild slew celebrities nameless figures "                
 [6] " seems hit stride speaking life instead somehow boosting sales "                                                                                     
 [7] " point movie course morality comes play particularly goldblum suddenly feels can market magical g megabucks get good boss robert loggia "            
 [8] " doesnt take long movie unfold sappy mush realizations taking place left right poor plot points "                                                    
 [9] " real zippy sequence involving frying morgan fairchilds face seems interest movie "                                                                  
[10] "murphy lends nothing character poor goldblum looks hed rather someplace else "                                                                       
[11] " may argue movie message came across probably get entertainment watching informercial guy question mark coat "                                       
[12] " least something us laught "                                                                                                                         
