 [1] "seen amc old pasadena pasadena ca sdds "                                                                                                                 
 [2] "paul verhoevens last movie showgirls bad script bad acting plot use word loosest possible sense served allow lots sex nudity "                           
 [3] " stank "                                                                                                                                                 
 [4] "starship troopers bad script bad acting plot serves allow lots violence gore "                                                                           
 [5] " stinks "                                                                                                                                                
 [6] "nobody will watch movie plot heres brief synopsis anyway "                                                                                               
 [7] " friends straight high school sign federal reserve armed forces time evil bugs planet klendathu sending meteors towards earth side galaxy "              
 [8] " one slips defences destroys buenos aires home city main characters war declared "                                                                       
 [9] " involves sending grunts include johnny rico van dien dizzy meyer surface bugs planet "                                                                  
[10] "much carnage ensues "                                                                                                                                    
[11] " troops withdrawn sent another planet answer distress call "                                                                                             
[12] " carnage ensues "                                                                                                                                        
[13] " rescued plans changed capture brain bug believed controlling aliens battle plans look didnt write ok "                                                  
[14] "yet carnage ensues "                                                                                                                                     
[15] "get picture "                                                                                                                                            
[16] "interspersed throughout brief ads federal network present picture neofascist state much like verhoevens robocop "                                        
[17] " many problems starship troopers "                                                                                                                       
[18] " plot one exists drive movie onwards silly "                                                                                                             
[19] "harris star tvs doogie howser md presented psychic ability talk ferret early movie apparently will accept ability mindmeld brain bug later "             
[20] " addition first thirty minutes movie characters sign service drag like bad episode beverly hills "                                                       
[21] " characters onedimensional much dizzy killed says ok got sleep rico "                                                                                    
[22] " hoped verhoevens use noname cast allow kill several lead characters surprise audience idea appears escaped "                                            
[23] " dialogue embarassing isnt helped frequently terrible delivery almost burst laughing harris delivered speech need sacrifice hundred people good species "
[24] "finally fake ads become nuisance "                                                                                                                       
[25] "although evoke propaganda wwiiera movietone reels presumably meant complete lack subtlety blunts effect "                                                
[26] " people will say thats irrelevant movie hinges battle scenes "                                                                                           
[27] " battle scenes "                                                                                                                                         
[28] "well admit effects good bugs move quite convincingly especially deprived limbs "                                                                         
[29] " people brains blown limbs cut bodies ripped two quite impressive ways "                                                                                 
[30] " problem "                                                                                                                                               
[31] " entertainment value film rests almost entirely graphic portrayal gore continous attempt gross us starting early richards character vomits onscreen "    
[32] "verhoeven appears trying make movie employing elements made robocop success fails spectacularly "                                                        
[33] " robocop message importance human gave bad guys motivation starship troopers lacks even simple features "                                                
[34] " brain bug sucks characters brain near end film merely analogy film done us "                                                                            
[35] " film full graphic violence suitable children "                                                                                                          
