 [1] " snake eyes aggravating kind movie kind shows much potential becomes unbelievably disappointing "                                                                                                                                                                                                                       
 [2] " just brian depalma film since hes great director one whos films always greeted least fanfare "                                                                                                                                                                                                                         
 [3] " even film starring nicolas cage since gives brauvara performance film hardly worth talents "                                                                                                                                                                                                                           
 [4] " worse "                                                                                                                                                                                                                                                                                                                
 [5] " aggravating sole reason story much totally intelligent opens absolutely subtlety will handled complexly intensely one point movie makes wrong turn leads hall fame halfassedness "                                                                                                                                     
 [6] " deservedly hall fame eighthassedness "                                                                                                                                                                                                                                                                                 
 [7] " certain circles snake eyes advertised kind modern day version kurosawas classic rashomon crime told four different mean different perspectives looks though may actually just like opening might add superb "                                                                                                          
 [8] " one long steadicam shot meet protagonist crooked atlantic city detective rick santoro cage follow boxing match talks cell phone wife interupts payperview event tv chases gambler enters arena pumped fight sits talks bud kevin dunne gary sinise whos character confused actor kevin dunn whos also watches happens "
 [9] "theres big name crowd thats secretary defense charles kirkland joel fabiani whos sitting behind rick gets shot second heavyweight champion lincoln tyler stan shaw knocked "                                                                                                                                            
[10] " happens opening shot creates many red herrings possibilities happened opens scene close examination total deconstruction "                                                                                                                                                                                             
[11] " really happened film asks sets film extremely well rick begins question people get different perspectives scene "                                                                                                                                                                                                      
[12] "discovers theres good possibility conspiracy "                                                                                                                                                                                                                                                                          
[13] " follow rick trying learn information also meet woman talking kirkland shot carla gugino flees scene panic tries hide cops arena adjacent casinohotel since cops blocked doors can get witness takes happened "                                                                                                         
[14] " going pretty fine dandy extremely interesting watch "                                                                                                                                                                                                                                                                  
[15] " takes one wrong step "                                                                                                                                                                                                                                                                                                 
[16] " follow wrong character learn answer mystery early way rick can find "                                                                                                                                                                                                                                                  
[17] " thats worst part one person didnt think obviously supposed red herring one didnt think stupid cliched person behind "                                                                                                                                                                                                  
[18] " gets worse film turns chase film half way film since already know happened cant rely ricks investigation interesting "                                                                                                                                                                                                 
[19] " film ran guts really complex original third way decided just fall back easy way just happens mean become less less credible "                                                                                                                                                                                          
[20] "events become proposterous end film decided rely worst offender mysteries like deux ex machina "                                                                                                                                                                                                                        
[21] "thats outside intereference brings film sudden conclusion makes everything okay "                                                                                                                                                                                                                                       
[22] " time hurricane outofcontrol police car big round ball adorned arena "                                                                                                                                                                                                                                                  
[23] " went wrong "                                                                                                                                                                                                                                                                                                           
[24] "depalma screenwriter david koepp extremely credible people respective fields known bringing life complexity mysteries "                                                                                                                                                                                                 
[25] "depalma idolizes hitchcock death done many film like masterpiece blow movie soundman uses movie elements uncover conspiracy piece piece "                                                                                                                                                                               
[26] " granted depalma least makes intriguing watch overthetop shot setups notably beginning sequence camera pans top bunch rooms hotel forgetting anything boundaries "                                                                                                                                                      
[27] " least direction makes partly "                                                                                                                                                                                                                                                                                         
[28] " theres koepp showed great ability making characters flaws come life like depalmas earlier carlitos way film dove right life past character examined extremely well "                                                                                                                                                   
[29] " can write flawed character rick santoro seems just halfassed effort "                                                                                                                                                                                                                                                  
[30] "hes flawed can see redemption story wasnt formulaic "                                                                                                                                                                                                                                                                   
[31] " scene towards end make fatal decision cheapened fact answer emotional buildup "                                                                                                                                                                                                                                        
[32] " may well said opposite says least gone character like "                                                                                                                                                                                                                                                                
[33] " disappointing kind film promises intelligence complexity promises disection flawed character perhaps even redemption pulls rug us just convinced able go way "                                                                                                                                                         
[34] " watching first half hour couldnt wait see mystery unearthed many different perspectives hed given perhaps hed make choice whos believe "                                                                                                                                                                               
[35] "now theres film "                                                                                                                                                                                                                                                                                                       
[36] "unfortunately film two major deux ex machinas one disasterous ending half hour film goes autopilot becomes stale recycled piece crap weve seen much never someone like depalma "                                                                                                                                        
