 [1] "ladies gentlemen payback expensive episode equalizer ive ever seen "                                                                                                                                                                                  
 [2] "gibson plays porter burglar shot left dead wife deborah kara unger alltoobrief cameo partner henry successful heist "                                                                                                                                 
 [3] " morgue attendant sets removing bullets porters back porter miraculously springs back life "                                                                                                                                                          
 [4] " makes mission walking dead man without conscience exact revenge screwed reclaim share loot "                                                                                                                                                         
 [5] " running gag porter demands everybody mishears assumes hes entire haul "                                                                                                                                                                              
 [6] " travels travails porter encounters several onenamed villainous cretins like fairfax james coburn whitehaired millionaire thief carter kristofferson brownhaired millionaire thiefthe kingpin obligatory operation "                                  
 [7] "helgelands film recut mel producer devoid imperative dime store charm "                                                                                                                                                                               
 [8] " novelty seeing big movie star mercilessly dispatching criminals wears quickly bad guys can differentiated coifs b mels schtick doesnt evolve act onehes terminator stranded plot without scifi hook keep us interested initial sadistic thrill gone "
 [9] "payback called playback minute loop short sequence "                                                                                                                                                                                                  
[10] " mel want money "                                                                                                                                                                                                                                     
[11] "anonymous villain "                                                                                                                                                                                                                                   
[12] "mel shoots gun "                                                                                                                                                                                                                                      
[13] "anonymous villain dies "                                                                                                                                                                                                                              
[14] "mel meets hooker friend bello "                                                                                                                                                                                                                       
[15] "second verse first "                                                                                                                                                                                                                                  
[16] " porters singlemindedness robs film snap crackle pop character already died nothing lose much gain "                                                                                                                                                  
[17] " movie lacks danger "                                                                                                                                                                                                                                 
[18] " thing porter jeopardy putting audience sleep "                                                                                                                                                                                                       
[19] "payback gritty metallic look also becomes monotonous cinematography appropriate one bleak urban psychodramas come england every couple months "                                                                                                       
[20] " director photography ericson core fired early lighting bello vavavavoom permanant midnight look like potato gregg allman wig "                                                                                                                       
[21] " analyze mediocrity grant payback far attention deserves "                                                                                                                                                                                            
[22] "perhaps someone experienced antagonistsasprotagonists tarantinolook similar heroless botchedrobbery tale reservoir dogscould pulled material loose remake john boormans point blank "                                                                 
[23] " movie presents us conventions pulp fiction women femme fatales even cops etc crosses conventions cheesy tv crime melodramas death never cards main character etc transcends neither "                                                                
