 [1] " seemed like perfect concept "                                                                                                                                                                                                              
 [2] " better farrelly brothers famous writing directing comedies offensive subject matter make movie guy split personality "                                                                                                                     
 [3] " exactly sort thing brothers relish poking fun something serious case mental illness throwing care wind get laugh "                                                                                                                         
 [4] "jim carreys signed "                                                                                                                                                                                                                        
 [5] "even better "                                                                                                                                                                                                                               
 [6] " national alliance mentally ill even helped levying complaints brothers new film opening claiming misrepresenting condition split personality labeling incorrectly schizophrenia forth "                                                    
 [7] " protest seemed like just sort thing course add fuel farrelly brothers fire proving people just couldnt take joke farrellys helping enlightened viewers yet another dose brilliantly subversive comedy "                                    
 [8] "yes seemed perfect one thing went wrong movie isnt funny "                                                                                                                                                                                  
 [9] " lack trying "                                                                                                                                                                                                                              
[10] " farrellys utilize irene highconcept premise ever carrey plays charlie baileygaites man dumped wife midget limo driver decides bury aggressive feelings deep inside never release "                                                         
[11] " course means neighbors exploit entirely tooforgiving nature making job rhode island state trooper increasingly difficult "                                                                                                                 
[12] "soon enough charlies repressed aggression manifests second independent personality named hank deepvoiced boorish ogre unafraid taking assertive actions predecessor unable muster "                                                         
[13] " guy isnt crashing car wall barber shop hes insulted holding little girls head underwater refused stop jumproping street "                                                                                                                  
[14] " things start getting lost complicated plot farrellys ever attempted film runs tracks "                                                                                                                                                     
[15] " suggested isnt problem farrelly brothers brand humor doesnt require plot work "                                                                                                                                                            
[16] "theyre wrong course plot greatly instrumental building kind rollicking comic energy infused farrellys last effort s theres something mary "                                                                                                 
[17] " s outside providence technically earlier project "                                                                                                                                                                                         
[18] " brothers earlier film wasnt funny merely contained outrageous gags despite newsmagazine articles believe rather outrageous gags entirely unexpected "                                                                                      
[19] " mary farrellys managed several times pull neat sleightofhand trick theyd thinking story going one way reveal real direction delightfully surprising fashion "                                                                              
[20] " irene contrast seems made folks looked mary saw surface grossness missing subtle machinations really made work "                                                                                                                           
[21] " produced guys made mary irene seems like even bigger disappointment "                                                                                                                                                                      
[22] " brothers pile offensive humor taking shots race midgets albinos mental illness manner bathroom jokes "                                                                                                                                     
[23] " havent come way make fresh irene comes rote bythenumbers adolescent comedy "                                                                                                                                                               
[24] " plot carrey forced drive alleged fugitive irene p waters renee zellweger whos trouble anyone knows back new york ending thats entirely predictable getgo "                                                                                 
[25] " think charlie irene will fall love "                                                                                                                                                                                                       
[26] "yeah "                                                                                                                                                                                                                                      
[27] " farrellys introduce scores different characters none ever manage anything havent already expected matter outrageous actions might "                                                                                                        
[28] "compared curveballs farrellys used throwing stuff almost entirely softtossed presenting obvious problem grossout humor loses shock value longer funny merely gross "                                                                        
[29] " jokes work milked effectiveness runs dry "                                                                                                                                                                                                 
[30] "take example subplot involving charlies three black sons anthony anderson mongo brownlee jerod mixon "                                                                                                                                      
[31] " incongruity funny three burly black men discussing higher math ghetto language whitebread carrey mouthing said language entirely toopleasant smile face "                                                                                  
[32] " end film theyre still schitck hasnt elevated another funnier level hasnt dropped either "                                                                                                                                                  
[33] "thats bad ceases amusing halfway "                                                                                                                                                                                                          
[34] " irene reeks wasted opportunities "                                                                                                                                                                                                         
[35] " focus people react charlies new personality charlie deals consequences hanks actions "                                                                                                                                                     
[36] " doesnt really happen nearly every supporting character learns charlies condition early dont opportunity surprised "                                                                                                                        
[37] " film throws looks like patented farrelly curve scene towards midway point involving albino companion charlie irene pick called appropriately whitey script doesnt go anywhere instead leaving thread twisting wind awkwardly tying climax "
[38] "jim carrey gifted comedian physically vocally hes left nothing much except contort manner similar steve martin "                                                                                                                            
[39] " great showcase flexibility splitsecond roleshifting none terribly funny "                                                                                                                                                                  
[40] "carrey doesnt pull stunts dont expect pull farrellys script doesnt give anything else pull situations must perform roleshifting arent set meaningful way "                                                                                  
[41] "perhaps carrey can take solace fact supporting actors fare better "                                                                                                                                                                         
[42] "zellwegers irene strong female lead mary mary may part adolescent fantasy also intelligent strongwilled "                                                                                                                                   
[43] "irene nothing particular film never makes clear whether shes ditzy clever neither "                                                                                                                                                         
[44] " gives us nothing latch onto sane person film "                                                                                                                                                                                             
[45] "chris cooper stuck playing exactly one note corrupt fbi agent character entirely straightlaced movie like "                                                                                                                                 
[46] " like others absolutely nothing unexpected "                                                                                                                                                                                                
[47] " viewing shapeless mess irene eventually dissolved stuck wondering whether farrellys outsmarted "                                                                                                                                           
[48] "maybe kind comedy can work long audiences get wise stop shocked "                                                                                                                                                                           
[49] " dont believe good filmmakers find ways surprising audiences even people grown attuned style "                                                                                                                                              
[50] " farrellys indeed good smart filmmakers still think theyll rebound just fine "                                                                                                                                                              
[51] "even happens though ill still consider irene highcaliber misfire "                                                                                                                                                                          
