 [1] " interesting part cant hardly wait just happens human many us one part many us can easily relate "                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 [2] " character denise lauren ambrose films sole sarcastic member mocks everything goes film one point sits couch looks totally bored "                                                                                                                                                                                                                                                                                                                                                                                                                                
 [3] " film wisely holds moment nicely showing alienation midst large high school party almost "                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
 [4] " nicely "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
 [5] " members audience read basically mirror whats going watching film "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
 [6] " sit wondering weve even bothered see film long high school party probably never felt desire go first place "                                                                                                                                                                                                                                                                                                                                                                                                                                                     
 [7] " actually highly recommend film satirized "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
 [8] " film filled bunch pathetic stereotypes much went high school "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
 [9] "everyones jock homecoming queen nerd dominions trekkies xphiles alienated wannabe writer school spirit girl pothead s wigger etc etc etc weirdly enough film shows superficial lame basically bunch losers "                                                                                                                                                                                                                                                                                                                                                      
[10] "except denise rolls eyes everything easily becomes likable character even speaks yearbook entry something done main character quotes oscar wilde definite pointers "                                                                                                                                                                                                                                                                                                                                                                                              
[11] "unfortunately writers directors take several major misteps way making admirable even likable film "                                                                                                                                                                                                                                                                                                                                                                                                                                                               
[12] " film said portrays characters superficial just totally ignorant everything "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
[13] "however instead sticking perhaps even going bit let lie actually make characters heroes "                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
[14] " follow several bunch moronic stereotypes shread humanity realism tries tell boring overly melodramatic tales actually cared andor identified "                                                                                                                                                                                                                                                                                                                                                                                                                   
[15] " certainly dont want revisit state "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
[16] "heres quick lowdown graduation follow bunch seniors last night otherwise known american grafitti lesser extent dazed confused cliche "                                                                                                                                                                                                                                                                                                                                                                                                                            
[17] " formal just followed drove aimlessly latter little bit featured big outdoor keg party "                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
[18] " cant hardly wait just opts big indoor keg party little bit aimless driving albeit imwhiningbecauseicantgetagirliwant brand "                                                                                                                                                                                                                                                                                                                                                                                                                                     
[19] " follow many people around mostly trail preston ethan embry thing alienated writer whos pining homcoming queen amanda totally overrated jennifer love hewitt entirety high school thinks shared moment freshman year freaking pop tart "                                                                                                                                                                                                                                                                                                                          
[20] "now shes broken football player boyfriend mike peter facinelli decides go party note hes written declaring love hopes hell build guts give even "                                                                                                                                                                                                                                                                                                                                                                                                                 
[21] "though hes leaving multiweek intensive writing program hosted none kurt vonnegut okay ingenius vonnegut icky noxema spokesperson "                                                                                                                                                                                                                                                                                                                                                                                                                                
[22] "since plot incredibly lame track record goes wouldnt able carry commercial let alone feature film party main characters william charlie korsmo finally surfacing dick tracy nerd dominions come ridiculous plan publically sabotage mike whos humiliated years gets caught drinking kenny seth green wigger decided party will will finally get laid uh huh denise exceptional character unfortunately gets stuck bathroom dont ask kenny two characters let characters allowed follow laws plot cliches point point b nary bit characterization involved awhile "
[23] "ugh "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
[24] " main comparison film getting another film actually american grafitti dazed confused two films embraced ultimately made humans many high schoolers mention extremely entertaining john hughes films s notably sixteen candles "                                                                                                                                                                                                                                                                                                                                   
[25] " big difference two film managed embrace even satirize main characters equally entertaining fashion "                                                                                                                                                                                                                                                                                                                                                                                                                                                             
[26] " film forgets satirize characters ultimately tells story bunch uninteresting stereotypes "                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
[27] " says okay "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
[28] " cant take film seriously can take fun really good "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
[29] " will tell things like liked direction except couple toooverthetop features like waytooglossy jump cuts like oxymoron obscurities "                                                                                                                                                                                                                                                                                                                                                                                                                               
[30] "generally though elfont kaplan graceful camera movement even manage capture altmanesque feel film time time thing note though hokey really admirable "                                                                                                                                                                                                                                                                                                                                                                                                            
