 [1] "remember tom cruise brian brown rival bartenders juggling bottles booze cocktail "                                                                                                                                                                        
 [2] "remember stupid looked "                                                                                                                                                                                                                                  
 [3] " remember scantilyclad dancers flashdance getting doused buckets water "                                                                                                                                                                                  
 [4] "well coyote ugly films five better six better count john goodman since piper perado maria bello tyra banks melanie lynskey izabella miko absolut spinning jiggling thing pouring pitchers perrier seminaked torsos "                                      
 [5] " goodman doesnt flip jim beams wear anything particularly risqu film get bar start gyrating rest "                                                                                                                                                        
 [6] " central characters love interest played australian actor named adam garcia proves can get bar start shimmying along rest "                                                                                                                               
 [7] " seems started life victorias secret photo shoot quickly deteriorates one heck embarrassing movie "                                                                                                                                                       
 [8] "violet perado south amboy hopeful tries make big songwriter welder new jack city "                                                                                                                                                                        
 [9] " na ve come shes fobbed music producers receptionists scornful apartment robbed hours touching chinatown "                                                                                                                                                
[10] " like mother gets stage fright whenever tries open mike night thing "                                                                                                                                                                                     
[11] " sees trio babealicious barkeeps thumbing stack s allnight diner violet simply check bar call coyote ugly "                                                                                                                                               
[12] "lil bello nononsense owner agrees give violet audition violet blows "                                                                                                                                                                                     
[13] "still lil gives violet another chance "                                                                                                                                                                                                                   
[14] " riot breaks riots order day uglys since staff relentless flaunting sexual wares flambeeing bar soaking patrons diet spritethis certifiable behavior case didnt mention violet successfully subdues crowd singing along blondies one way another jukebox "
[15] "shes hired "                                                                                                                                                                                                                                              
[16] " cured since little episode gives confidence sing amateur talent contest dad goodman junk foodeating laundryimpaired toll collector comes see proud punch "                                                                                               
[17] " end "                                                                                                                                                                                                                                                    
