 [1] "walt disney studios may finally met match lush animation twentieth century foxs anastasia "                                                    
 [2] " judging latest efforts don bluth studios visuals thing fox brag "                                                                             
 [3] "disneys recent classics occasionally stretched credibility films pocahontas hunchback notre dame lesser extent hercules "                      
 [4] " anastasia fox gone far throw facts completely window "                                                                                        
 [5] " may say "                                                                                                                                     
 [6] " just kids movie "                                                                                                                             
 [7] "well "                                                                                                                                         
 [8] " young kids beware may noticeably frightened visuals corpserotting rasputin zombie whose body parts continually fall disconcertingly real way "
 [9] "consider warned "                                                                                                                              
[10] "nevertheless animation quite stunning times "                                                                                                  
[11] "don bluth used computer animation extensively throughout occasionally rivalling photographic quality "                                         
[12] " yet scenes handdrawn material seems saturdaymorning tv crowd leads wonder "                                                                   
[13] " rushed market combat disney "                                                                                                                 
[14] " plot anyone read history knows concerns attempt return anastasia royal family lost overthrow romanovs "                                       
[15] " anastasia much concerned really happened "                                                                                                    
[16] " plot go rent disneys candleshoe "                                                                                                             
[17] "youll see anastasia "                                                                                                                          
