 [1] "apparantly money talks "                                                                                                                
 [2] " "                                                                                                                                      
 [3] " "                                                                                                                                      
 [4] " uses quite bit obscenities "                                                                                                           
 [5] "ive always considered pretty open gratuity film can possess whether language violence sex "                                             
 [6] " find fact gives little leverage complain movie goes overboard money talks definitely "                                                 
 [7] " much movie swore nearly constantly mean constantly swore much seemed overly prominent way staged "                                     
 [8] "perhaps one character foul mouthed film everybody swears nearly every word "                                                            
 [9] "money talks black ticket scalper named franklin hatchett played less annoyingly expected chris tucker "                                 
[10] "franklin typical conman ends one person get "                                                                                           
[11] " plot finally gets underway theres less three people groups want dead alive "                                                           
[12] " frenchman whos somewhat responsible franklins escape prisonerpacked bus hoodlum franklin owes seven grand cops wrongly suspect murder "
[13] "franklins hope james russell charlie sheen investigative reporter local news whos prove worthy journalist "                             
[14] "james offers help clear franklins name franklin will just allow exclusive report help channel conquer sweeps week "                     
[15] " elements completely lost along way however never reappear "                                                                            
[16] " expected odd couple franklin james wind friends end another wasted element seeing show signs becoming friends point along way "        
[17] " just nothing original intriguing film many developments either nonrelevant just plain forgotten "                                      
[18] "money talks paintbynumbers movie lacks real involvment audience "                                                                       
[19] "frivilous dialogue predictable flat storyline twodimensional characters make money talks reason save money "                            
