 [1] "walken stars mobster kidnapped held ransom four bratty rich kids "                                                                                                                                                                                                                                                                     
 [2] " seems woman also kidnappedshe sister one e t s "                                                                                                                                                                                                                                                                                      
 [3] "henry thomas girlfriend another flannery asking price million said snots unable cough alone "                                                                                                                                                                                                                                          
 [4] " even cut walkens finger show mean business desperate save womans life "                                                                                                                                                                                                                                                               
 [5] "suicide kings terrible film "                                                                                                                                                                                                                                                                                                          
 [6] "walken aside isnt single appealing cast member "                                                                                                                                                                                                                                                                                       
 [7] "ofallon creates characters functional types without resonance "                                                                                                                                                                                                                                                                        
 [8] " amusingly unironic scene walken plays poker foursome describes personalities teeits reading summary sheet casting director "                                                                                                                                                                                                          
 [9] " plot another issue entirely "                                                                                                                                                                                                                                                                                                         
[10] "ofallon someone im betting seen reservoir dogs usual suspects many times story veer bizarre tangents whence never return really need scene dennis leary beats abusive father toaster entirely unrelated story learys character numerous anecdotal sequences central plot serpentine mess filled crosses double crosses triple crosses "
[11] " fourth big revelationtwist completely tuned wondering earth attracted actors material "                                                                                                                                                                                                                                               
[12] "recently peer fellow young filmmaker informed idea movie four guys mob fbi "                                                                                                                                                                                                                                                           
[13] " occurred whats wrong indies like suicide kings suspect ofallon never met mobster rich man doesnt deliver endless clever monologues friends favourite types boots "                                                                                                                                                                    
[14] " short guys just riffing movies making film "                                                                                                                                                                                                                                                                                          
[15] "tarantino found niche now hundreds genxers movie cameras trying find tarantinos niche instead carving "                                                                                                                                                                                                                                
[16] "reviewed toronto international film festival "                                                                                                                                                                                                                                                                                         
