 [1] "two party guys bob heads haddaways dance hit love "                                                                                                                                                                                                   
 [2] " getting trouble nightclub nightclub "                                                                                                                                                                                                                
 [3] " barely enough sustain threeminute saturdaynightlive skit snl producer lorne michaels clueless creator amy heckerling paramount pictures saw something late night television institutions recurring roxbury guys sketch presumably make good feature "
 [4] "emphasis word presumably "                                                                                                                                                                                                                            
 [5] "anightattheroxbury takes alreadythin concept tediously stretches far beyond breaking pointand viewers patience levels "                                                                                                                               
 [6] " first five minutes roxbury play much like one original roxbury guys skits "                                                                                                                                                                          
 [7] " love "                                                                                                                                                                                                                                               
 [8] "blaring soundtrack brotherly duo doug steve butabi chris kattan will ferrell bob heads scope hotties clubs bump select violent pelvic thrusts "                                                                                                       
 [9] " one crucial difference howeverthese guys speak "                                                                                                                                                                                                     
[10] " little fact used justification films existence butabis newfound capacity speech open whole new set doors characters "                                                                                                                                
[11] " doors opened director john fortenberry screenwriters steve koren ferrell kattan new thats sure lead comic dead ends "                                                                                                                                
[12] " story per se loosely structured linked series subplots "                                                                                                                                                                                             
[13] " brothers literally run rather get run car richard grieco jumpstreet fame gain entrance exclusive roxbury club "                                                                                                                                      
[14] " meet hotshot club owner chazz palminteri conspicuously uncreditedcan blame takes interest idea "                                                                                                                                                     
[15] "meanwhile bros overbearing father dan hedaya wants stop clubbing "                                                                                                                                                                                    
[16] " doug refuses dimwitted steve obeys father rift created two "                                                                                                                                                                                         
[17] " narrative messiness roxbury forgivable went slightest bit funny virtually none "                                                                                                                                                                     
[18] " assembled press audience mostly sat stonily silent throughout entire film one big exception big laugh near end "                                                                                                                                     
[19] "alas jokea rather lazy takeoff jerrymaguirewill strike chord people seen film "                                                                                                                                                                       
[20] "granted lot people seen jerrymaguire fact films best joke completely dependent ones familiarity another film says lot roxburys lack inspiration "                                                                                                     
[21] " lack inspiration can traced back insipid characters "                                                                                                                                                                                                
[22] "like many skits current incarnation saturdaynightlive roxbury guys onejoke sketch never suggests characters enough comic life survive outside sketch context "                                                                                        
[23] " watching one roxbury skits snl come away characters bob heads love "                                                                                                                                                                                 
[24] "bump unsuspecting women thats "                                                                                                                                                                                                                       
[25] " watching anightattheroxbury youll left exactly "                                                                                                                                                                                                     
