 [1] " something fishy state universal "                                                                                                                                                                                          
 [2] " ten years back unexpected success mad max road warrior postapocalypse nittygritty survival yarns became popular movies "                                                                                                   
 [3] "weve always movies nature beach end world damnation alley ultimate warrior "                                                                                                                                                
 [4] " date smoothly done straightforward haircuts classic western plot like lone gunman comes town protects widow son evil organization usually one possession critical resource like water feed range mining claim "            
 [5] " grew venerable solid hero yarns like virginian shane "                                                                                                                                                                     
 [6] " personal favorite patrick swayze movie called steel dawn fairly well made small budget "                                                                                                                                   
 [7] "now waterworld brings traditional lone gunman town rescue young widow daughter "                                                                                                                                            
 [8] " well shes widow kid isnt daughter get idea "                                                                                                                                                                               
 [9] " lady helen played stunning jean tripplehorn isnt given chance stunning even interesting mediocre unimaginative script "                                                                                                    
[10] " child enola played tina majorino living proof child actor need bad thing movie outshines material way "                                                                                                                    
[11] " simple scene earth hundreds years now "                                                                                                                                                                                    
[12] " polar ice caps melted somehow produced enough water inundate entire planet "                                                                                                                                               
[13] " remaining people live boats floating colonies survive trade theft piracy "                                                                                                                                                 
[14] "somehow oil tanker survived centuries inhabitants called smokers able keep gasoline engines running despite dearth replacement parts raw materials bad guys outboard engines fastmoving boats airplanes jet skis "          
[15] "enola found sea young girl mysterious map one can read tattooed back "                                                                                                                                                      
[16] " suspect early way mythical dryland place trees crops animals grow plot hinges enola "                                                                                                                                      
[17] " psycho ruler smokers deacon trying get find way dryland "                                                                                                                                                                  
[18] "played typical selflampooning rugchewing histrionics dennis hopper deacon thing movie thats close amusing "                                                                                                                 
[19] " performance almost laughable just isnt enough funny "                                                                                                                                                                      
[20] " star coproducer kevin costner "                                                                                                                                                                                            
[21] "hes playing unnamed lone denizen sea man called mariner turns gilled waterbreathing mutant webbed feet "                                                                                                                    
[22] " little done "                                                                                                                                                                                                              
[23] " script ignores ineffectuality gills supplying enough oxygen support human metabolism ignores fact even ice caps completely melted much earths surface still water ignores blatant impossibility cultures technology shown "
[24] " canned meat last centuries ammunition fire decades old "                                                                                                                                                                   
[25] "im quite fond tina majorinos previous work impressed jean tripplehorns past accomplishments still speechless costners dances wolves "                                                                                       
[26] " movie destroy careers anyone associated "                                                                                                                                                                                  
[27] " movie cost one hundred eightytwo million dollars theres nothing havent seen done better percent cost turkey "                                                                                                              
[28] " minutes material movie cost one point four million dollars per minute make "                                                                                                                                               
[29] " budget movie given us thirty movies paid six years primetime sf tv series expensive fx work ten years sf tv series good digital fx "                                                                                       
[30] " sum movie beneath contempt "                                                                                                                                                                                               
[31] " nothing new offer script easily bettered people write comic books dc spent money national budget small nation "                                                                                                            
[32] " go see see fourdollar matinee "                                                                                                                                                                                            
[33] "otherwise youll find sneering every time pass reflective surface weeks "                                                                                                                                                    
