 [1] "theres foot tidal wave end deep impact "                                                                                                                                                
 [2] "id say pretty accurately represents towering flood last two years worth disaster movies getting irwin allen esque every release "                                                       
 [3] " early wave revival just cheesy laughable least knew include thrills every five ten minutes "                                                                                           
 [4] "deep impact tries disguise human drama endless filler comprised disaster prevention plans country keeps taking "                                                                        
 [5] " repeating cycle follows president morgan freeman will go tv tell country theres remote chance comet will strike earth nations crack scientists astronauts brilliant plan stop problem "
 [6] " get see plan action sequence utterly lacking suspense "                                                                                                                                
 [7] " mission will barely fail freeman will tell country comet still headed toward earth theres remote chance will strike nations crack scientists astronauts brilliant plan stop problem "  
 [8] " goes throughout movie every time freeman goes tv know plan going fail "                                                                                                                
 [9] " know "                                                                                                                                                                                 
[10] " weve seen tv ads deep impact ads feature freeman telling nation comet still headed right us show disaster shots comet striking earth giant tidal wave spreading "                      
[11] "ladies gentlemen movie "                                                                                                                                                                
[12] "successful disaster movies main disaster toward beginning little disasters follow deep impact saves one disaster end discloses second tv spots "                                        
[13] "television whats wrong deep impact "                                                                                                                                                    
[14] " main character played tea leoni lowlevel broadcast journalist msnbc thats mere tip productplacement iceberg stumbles upon huge government conspiracy "                                 
[15] " thinks instance exsecretary something james cromwell resigning mistress maybe took fall president area "                                                                               
[16] " goes nosing around cromwell begs keep wraps "                                                                                                                                          
[17] " know youre just reporter used human "                                                                                                                                                  
[18] " figures whats really going getting roughed fbi men internet search good journalists learn difference mistress extinction level comet "                                                 
[19] "upon topsecret meeting president freeman leoni agrees keep story wraps president can hold press conference gets ask first question "                                                    
[20] " everyone knows get ask first question baby youre star "                                                                                                                                
[21] "leoni ends anchor chair broadcasting every step comets collision course earth "                                                                                                         
[22] " im sure comforting know even though worlds ending matter months shes cable news personality "                                                                                          
[23] " narrating sixastronaut mission blow comet "                                                                                                                                            
[24] " personalities robert duvall jon favreau blair underwood cash paychecks go motions draggedout process "                                                                                 
[25] " anyone whos seen commercials knows astronauts fail "                                                                                                                                   
[26] " end breaking comet two pieces means even destruction earth "                                                                                                                           
[27] "yeah thanks nasa "                                                                                                                                                                      
[28] "thats freeman come tv last time say goodbye people arent picked live missouri cave site two years "                                                                                     
[29] " even animals two two ready climb cave "                                                                                                                                                
[30] " focus people living inside caves world destroyed deep impact far interesting movie "                                                                                                   
[31] "instead watch lovestruck elijah wood defies odds chase young wife people pack highways town "                                                                                           
[32] " reasoning course comet going strike might well scenic rural location "                                                                                                                 
[33] " amusingly highway spotted people uhaul trucks "                                                                                                                                        
[34] "im sure comforting know even though worlds ending matter minutes uhaul people business lives "                                                                                          
