 [1] " army comedy genre never turned truly good movie dont count neil simons biloxi blues "                                                      
 [2] "year year predictably cliched military movies come recently sgt "                                                                           
 [3] "bilko none ever manage anything rehash last "                                                                                               
 [4] " thought stripes different "                                                                                                                
 [5] " ivan reitman director bill murray star harold ramis costar coscreenwriter seemed like ghostbusters army "                                  
 [6] "instead bunch unfunny crap army "                                                                                                           
 [7] "murray funny sophisticated meatballs plays loser cab driver sees army chance success convinces friend ramis enlist "                        
 [8] " get obligatory drill sergeant hell headshaving marchingsinging sequences mindnumbingly stale ever "                                        
 [9] " characters even less original ranging underachieving slob john candy incompetent captain john larroquette "                                
[10] " big name stars stripes even larroquette fall victim lame rehashed material never really likeable murray particular "                       
[11] " gets decent lines although barelyfunny one liners pale comparison hilarious peter venkman character played three years later ghostbusters "
[12] " even better caddyshack crying loud "                                                                                                       
[13] " lot late s early s comedies stripes completely juvenile movie child like sex obsessed child able watch "                                   
[14] "im sure seems funny paper candy pay mud wrestle five beautiful women watching coming mouth admonition dear god "                            
[15] "every seconds "                                                                                                                             
[16] "stripes isnt playful kind sex comedy either "                                                                                               
[17] " time seems downright misogynistic larroquette uses telescope peer womens showers murray lifts female m p "                                 
[18] "onto stove iknowwhatyoulike look face says hes going give aunt jemima treatment means shoving spatula butt repeatedly "                     
[19] " dont want stick around scene progresses uses ice cream scoop genital region "                                                              
[20] " im enjoying woman protests "                                                                                                               
[21] " sentiments exactly "                                                                                                                       
