 [1] "violence bad "                                                                                                                                            
 [2] "violence ugly "                                                                                                                                           
 [3] "violence breeds yet violence "                                                                                                                            
 [4] "kids dont try home "                                                                                                                                      
 [5] " weighty message isnt barrier enjoying brother certainly one largest "                                                                                    
 [6] "written directed starring infamous takeshi kitano kikujiro sonatine brother first film made outside familial japan bringing yakuza tradition los angeles "
 [7] " yakuza translated average american japanese mafia "                                                                                                      
 [8] " piss family member dishonor way usual punishment public display selfmutilation usually resulting loss limbs "                                            
 [9] " definition dishonor can anything making stupid decision leaving one family another "                                                                     
[10] " interesting know customs come "                                                                                                                          
[11] "unfortunately film doesnt give much explanation assuming audience aware kitanos earlier work "                                                            
[12] " several shots focus specifically detailed tattoos spread across entire back yakuza members leading one assume symbolic something never know "            
[13] " theres scene man kills front rival exchange rival joining family "                                                                                       
[14] "granted one best scenes movie doesnt make lot sense "                                                                                                     
[15] "instead two hours basically spent watching following people go shoot talk tenplus minutes go "                                                            
[16] " consistently repetitive discussion territory moments involuntarily provokes yawning "                                                                    
[17] " also plot details thrown identifiable purpose "                                                                                                          
[18] " sudden yamamoto kitano girlfriend "                                                                                                                      
[19] " barely speaks treats like crap sends away "                                                                                                              
[20] "another missed opportunity considering big deal kitano bring magic united states combination cultures rely heavily overused stereotypes "                 
[21] "though slow moving brother good elements "                                                                                                                
[22] " action scenes well directed clearly defined interesting watch "                                                                                          
[23] " violence hinted shown produces luscious squirm one goes see films "                                                                                      
[24] " actors enticing "                                                                                                                                        
[25] "shirases masaya kato loud sarcastic coolness set yamamotos quietly threatening attitude truly entertaining combination "                                  
[26] " moments together apart steal rest show "                                                                                                                 
[27] "also credit brother tackles cause effect crime realism "                                                                                                  
[28] " life crime easy get sucked first reward quick cash "                                                                                                     
[29] "sure people get rich can also lose just easily "                                                                                                          
[30] " great moral great cast just much substance back "                                                                                                        
