 [1] "movies based video games street fighter mario bros never generated much interest box office "                                                     
 [2] " first mortal kombat movie came surprisingly well "                                                                                               
 [3] " simple story pulsating soundtrack lots awesomely choreographed fight scenes movie moved quickly displayed lots energy "                          
 [4] " got vote movie expected least got "                                                                                                              
 [5] " havent opportunity definitely recommend see video "                                                                                              
 [6] " world mortal kombat based popular arcade game dark forces outworld try infiltrate earths realm ulimate goal total conquest destruction humanity "
 [7] " mortal kombat refers competition fought human mortals outworlds minions won will guarantee earths safety another generation "                    
 [8] "mk picks almost immediately humans return victoriously competition "                                                                              
 [9] "despite victory however gateway somehow opened outworld continues quest conquer earth "                                                           
[10] "outworlds warriors include impressive collection fighters including shao kahn mintoro centaur sheeva fourarmed ogre sindel "                      
[11] "earths mortal warriors leadership benevolent god lord rayden includes liu kang princess kitana sonya blade jax must fight outworlds forces "      
[12] " easy enough premise unfortunately unfortunately writers try much movie "                                                                         
[13] " video game onscreen version tries go beyond comic book boundaries adding depth conceptualization selfworth worst love story "                    
[14] " becomes awkward players fighters nothing "                                                                                                       
[15] " likable impressive showcasing martial arts fighting skills look extremely awkward uncomfortable required actually act "                          
[16] " becomes embarrassingly apparent example movie tries develop romantic bond liu kang princess kitana "                                             
[17] " original mk smart letting players best "                                                                                                         
[18] " spoke little fought lot "                                                                                                                        
[19] "thus movie easy digest "                                                                                                                          
[20] "however mk tries give players certain amount depth element lacking first movie attempt fails miserably "                                          
[21] " uneasy feeling readily apparent example whenever hear lord rayden speak "                                                                        
[22] " talk riddles offer enigmatic e g "                                                                                                               
[23] "useless advice speaks slowly simulate infinite wisdom "                                                                                           
[24] "try reading half fast youll hear mean "                                                                                                           
[25] " movie complete fatality "                                                                                                                        
[26] "fight scenes wellchoreographed highlighted terrific acrobatics agility "                                                                          
[27] " players game will rewarded inclusion practically every character video game although screen time amounts nothing cameo "                         
[28] "even youre familiar video game fighter costume unique weaponry easily differentiate "                                                             
[29] " just little moviegoers especially fans game will expect "                                                                                        
[30] "oddly inclusion human element actually pollutes purity mortal kombat essence "                                                                    
[31] " poor acting results muddled movie offers viewing audience little chance survival "                                                               
[32] " now talking slowly simulate infinite wisdom "                                                                                                    
[33] "rent first one sequel kombat fans "                                                                                                               
