 [1] "making first feature film aint easy "                                                                                                      
 [2] "assemble decent strong cast writerdirector robert moresco done one eyed king youre already ahead game "                                    
 [3] " rehash old plot lines tired dialogue standard clich s wellintentioned effort one jeopardize chance second feature film "                  
 [4] " many movies need rough neighborhood full lifelong friends hopelessly turned crime worse "                                                 
 [5] " enormous catalog movies might dissuade filmmaker making yet another "                                                                     
 [6] " "                                                                                                                                         
 [7] "five irish kids nycs hells kitchen make overemotional pact stolen rings anonymous rooftop "                                                
 [8] " teary music "                                                                                                                             
 [9] " slow motion "                                                                                                                             
[10] " films first scene "                                                                                                                       
[11] " kids grow fairly worthless adults unable unwilling make way heat kitchen "                                                                
[12] "leading clueless pack william baldwin goodhearted guy watches buddies tight local mob head armand assante "                                
[13] "id like say character gets involved head sort blah blah blah seem get little tastes possible plot points "                                 
[14] "hes concerned buddy jason gedricks heroin abuse "                                                                                          
[15] " sticks jim breuer impregnates baldwins characters sister "                                                                                
[16] " looks might pushing moroniclooking counterfeit cash ever made genuinely funny touch "                                                     
[17] " none ever really amounts anything "                                                                                                       
[18] " seems morescos greater concern provide intangible slice life flavor neighborhood everyones trying evoke since scorseses early work "      
[19] " get drunk guys hugging singing together local bar prove us really love "                                                                  
[20] " people actually "                                                                                                                         
[21] " get lot tough street talk usually mumbled effect whole lot fword whether sounds like fits "                                               
[22] " also get handful good actors small roles seem lack purpose "                                                                              
[23] "bruno kirby chazz palminteri know guys youve seen movies just like one "                                                                   
[24] "assante intelligent casting man everyone fears baldwins performance adequate rest cast jump tough guy persona thoroughly almost funny "    
[25] "moresco theater guy sometimes tv writer including series falcone obviously labored one anyone might first child content probably personal "
[26] " result movies style heavyhanded need considerable amount toning "                                                                         
[27] "nearly every time action grown gang recalls something kids moresco reminds us boy remind us "                                              
[28] " slow dissolves earlier scene running slow motion complete dialogue present just case dont comprehend link past "                          
[29] "moresco needs either trust audiences intelligence faith presentation rather beat us head "                                                 
[30] " next project little personal distance lot subtlety "                                                                                      
[31] " actually gets chance "                                                                                                                    
[32] "reviewed part boston film festival coverage feature story coming soon "                                                                    
