 [1] " last carry movie discount carry columbus carry movie made new production company "                                                                                                        
 [2] "based central london movie attempts emmanuelle prevert suzanne danielle bed husband emile french ambassador kenneth williams "                                                             
 [3] " seems unwilling given permission bed anyone likes prime minister u s ambassador "                                                                                                         
 [4] " antics get trouble british press spread rumours front pages "                                                                                                                             
 [5] " invited talk television set record straight confirms rumours instead "                                                                                                                    
 [6] "meanwhile theodore valentine larry dann love emmannuelle chance encounter toilet concorde determined marry "                                                                               
 [7] "however interested restoring husbands ardour seems little difficult emiles accident church spire "                                                                                         
 [8] " film second worst carry movie worst carry england "                                                                                                                                       
 [9] " embarassing see remaining regulars struggle diabolical script lance peters try pull crude tasteless jokes written "                                                                       
[10] "newcomers suzanne danielle beryl reid mrs valentine mildly funny larry dann theodore excruciatingly bad "                                                                                  
[11] "kenneth williams appears scenes lacklustre performance warranted given script "                                                                                                            
[12] " small parts jack douglas lyons butler joan sims mrs dangle kenneth connor leyland chauffeur peter butterworth richmond worthless embarassing "                                            
[13] " fact four parts surplus requirements "                                                                                                                                                    
[14] "however humourous scene film four emmannuelle talk amourous escapades "                                                                                                                    
[15] " awful script terrible collection jokes poor production values especially scene emmannuelle takes clothes st james palace ludicrous cringeworthy musical score nonexistent plot storyline "
[16] " just succession awful set pieces emmannuelle will bed next "                                                                                                                              
[17] "jack douglas annoying boring joan sims peter butterworth wasted kenneth connor kenneth williams put poor performances leyland emile "                                                      
[18] " complete waste time movie trying catch new sexually permissive seventies "                                                                                                                
[19] " certificate film little interest kind film flopped box office given premiere uk terrestrial television april "                                                                            
[20] "avoid costs "                                                                                                                                                                              
