 [1] " think maybe time batman series put rest "                                                                                                                                                                                                                                                      
 [2] " first two films unsettling insight really take someone make superhero abandoned one throws lingering realism window goes allout camp traces selfmocking restraint relatively lighthearted third installment "                                                                                  
 [3] "let give example first scene movie batman george clooney robin chris odonnell summoned museum literally turned ice mr freeze arnold schwarzenegger attempt steal diamond "                                                                                                                      
 [4] "mr freezes thugs armed none hockey sticks problem heroes automatic skates shoot shoes point robin manages get hold hockey stick grabs diamond stickhandles museum "                                                                                                                             
 [5] " might expected airplanestyle farce dont think thats movie supposed "                                                                                                                                                                                                                           
 [6] " previous three batman movies actually fairly realistic standards superheroaction genre kept corny deathdefying stunts minimum playing obligatory cheesiness least amount irony "                                                                                                               
 [7] " list goes one "                                                                                                                                                                                                                                                                                
 [8] "robin holds onto outside flying rocket ship feet high atmosphere climbing door save batman "                                                                                                                                                                                                    
 [9] "mr freeze poison ivy uma thurman leap skyscraper survive landing small pond "                                                                                                                                                                                                                   
[10] " world dominating mad scientist lives fortress seems stolen old heman cartoons "                                                                                                                                                                                                                
[11] " favorite example scene batgirl alicia silverstone gets race motorcycle thugs come clever notion dousing road gasoline setting fire distract "                                                                                                                                                  
[12] " bad wouldnt police maybe batman "                                                                                                                                                                                                                                                              
[13] "notice road fire "                                                                                                                                                                                                                                                                              
[14] " knew gotham city crazy anarchic place "                                                                                                                                                                                                                                                        
[15] " "                                                                                                                                                                                                                                                                                              
[16] " "                                                                                                                                                                                                                                                                                              
[17] " "                                                                                                                                                                                                                                                                                              
[18] " also seems creators batman movies obeying unwritten rule main characters plot lines successive installment "                                                                                                                                                                                   
[19] " three protagonists two villains werent enough batman robin weighs underdeveloped side story failing health bruce waynes butler alfred michael gough might seemed poignant wasnt surrounded much silliness well several scenes elle macpherson bruces girlfriend serve purpose remind us movie "
[20] " might semiexcusable story interesting entertaining isnt "                                                                                                                                                                                                                                      
[21] " fact kind boring "                                                                                                                                                                                                                                                                             
[22] "mr freeze poison ivy pale comparison villains past baddies jack nicholsons joker danny devitos penguin "                                                                                                                                                                                        
[23] " evil plot predictable schwarzenegger actually pronounces words today gotham city tomorrow world "                                                                                                                                                                                              
[24] " lamebrained didnt ever occur poison ivy freezing entire world kill precious plants "                                                                                                                                                                                                           
[25] " robins constant challenging batman mostly just makes look bullheaded stupid makes us wonder batman ever taken partner first place "                                                                                                                                                            
[26] "strip away stars fancy set design status batman movie another barely passable summer action flick "                                                                                                                                                                                             
